t,ref,K_actual,T_actual,bias_actual,psi_traditional,psi_mpc_nominal,psi_mpc_data,u_traditional,u_mpc_nominal,u_mpc_data,err_traditional,err_mpc_nominal,err_mpc_data,r_traditional,r_mpc_nominal,r_mpc_data,K_est_data,T_est_data,bias_est_data
58.2,8,0.065,18,0.007995441885927152,7.854266871717178,-5.578177317506833,-5.748647143968046,-10.8,12,12,-0.1457331282828225,-13.57817731750683,-13.74864714396805,-0.4526850479066433,0.1623915687463764,0.1924058908937302,0.065,18,0.008104226603720985
58.40000000000001,8,0.065,18,0.007784020593179907,7.763495646584412,-5.544006722901558,-5.70854038342696,-10.2,12,12,-0.2365043534155884,-13.54400672290156,-13.70854038342696,-0.4538561256638285,0.1708529730263798,0.2005338027054297,0.065,18,0.00788973123955353
58.6,8,0.065,18,0.007578963920203224,7.672571018110181,-5.508171107412613,-5.666834559401492,-9.600000000000001,12,12,-0.3274289818898186,-13.50817110741261,-13.66683455940149,-0.45462314237115,0.1791780774447227,0.2085291201273387,0.065,18,0.007681492256691565
58.8,8,0.065,18,0.007380481827112703,7.581573155175806,-5.47069717353896,-5.62355564153061,-9.000000000000002,12,12,-0.4184268448241939,-13.47069717353896,-13.62355564153061,-0.4549893146718744,0.1873696693682664,0.2163945893544089,0.065,18,0.007479722873657963
59,8,0.065,18,0.007188777542228646,7.490581598880453,-5.431611064101929,-5.578729047918543,-8.400000000000002,12,12,-0.5094184011195466,-13.43161106410193,-13.57872904791854,-0.4549577814767644,0.1954305471851527,0.224132968060338,0.065,18,0.007284629684670675
59.2,8,0.065,18,0.007004047353987953,7.399675277645627,-5.390938360334732,-5.532379643133809,-7.800000000000002,12,12,-0.6003247223543733,-13.39093836033473,-13.53237964313381,-0.4545316061741324,0.2033635188359856,0.2317470239236689,0.065,18,0.007096412448108299
59.40000000000001,8,0.065,18,0.006826480409961975,7.308932521874236,-5.348704080270789,-5.484531736508079,-7.200000000000003,12,12,-0.6910674781257642,-13.34870408027079,-13.48453173650808,-0.4537137788569555,0.2111714003197167,0.2392395331286479,0.065,18,0.006915263881974964
59.6,8,0.065,18,0.006656258523185891,7.218431078161148,-5.304932677435602,-5.43520908073957,-6.600000000000003,12,12,-0.7815689218388524,-13.3049326774356,-13.43520908073957,-0.4525072185654414,0.2188570141759345,0.2466132788425442,0.065,18,0.006741369466573933
59.8,8,0.065,18,0.006493555985998037,7.128248123052465,-5.259648039846545,-5.38443487080534,-6.000000000000004,12,12,-0.8717518769475348,-13.25964803984655,-13.38443487080534,-0.4509147755434104,0.2264231879452835,0.2538710496711531,0.065,18,0.006574907254591963
60,8,0.065,18,0.006338539391579831,7.038460276351097,-5.212873489324593,-5.332231743186494,-5.400000000000004,12,12,-0.9615397236489027,-13.21287348932459,-13.33223174318649,-0.4489392335068396,0.2338727526097577,0.2610156380942288,0.065,18,0.006416047688788933
60.2,8,0.065,18,0.00619136746337885,6.949143613966519,-5.164631781121667,-5.278621775409972,-4.800000000000004,12,12,-1.050856386033481,-13.16463178112167,-13.27862177540997,-0.446583311922892,0.241208541014632,0.2680498388826089,0.065,18,0.00626495342747934
60.40000000000001,8,0.065,18,0.006052190892589933,6.860373680306971,-5.114945103866905,-5.22362648591021,-4.200000000000005,12,12,-1.139626319693029,-13.1149451038669,-13.22362648591021,-0.4438496682977397,0.2484333862738118,0.2749764474988112,0.065,18,0.006121779177984392
60.6,8,0.065,18,0.005921152183860559,6.772225500212677,-5.063835079834825,-5.16726683421363,-3.600000000000005,12,12,-1.227774499787323,-13.06383507983482,-13.16726683421363,-0.4407409004714691,0.2555501201603986,0.281798258482898,0.065,18,0.005986671538225246
60.8,8,0.065,18,0.005798385509378506,6.684773590429008,-5.01132276553797,-5.109563221448547,-3.000000000000004,12,12,-1.315226409570992,-13.01132276553797,-13.10956322144855,-0.4372595489183473,0.2625615714842774,0.2885180638254157,0.065,18,0.005859768846619533
61,8,0.065,18,0.005684016571491309,6.598091970618865,-4.95742865264626,-5.050535491182701,-2.400000000000004,12,12,-1.401908029381135,-12.95742865264626,-13.0505354911827,-0.4334080990507121,0.26947056445855,0.2951386513292312,0.065,18,0.005741201040434908
61.2,8,0.065,18,0.005578162473997984,6.512254173913917,-4.902172669234932,-4.990202930590282,-1.800000000000004,12,12,-1.487745826086083,-12.90217266923493,-12.99020293059028,-0.4291889835247393,0.2762799170566422,0.3016628029620935,0.065,18,0.005631089522744647
61.40000000000001,8,0.065,18,0.00548093160224501,6.427333257004651,-4.845574181362547,-4.928584271949931,-1.494560747141761,12,12,-1.572666742995349,-12.84557418136255,-12.92858427194993,-0.4246045845463315,0.2829924393619235,0.3080932932017588,0.065,18,0.005529547038121497
61.6,8,0.065,18,0.005392423512149195,6.343359262106102,-4.787651994980211,-4.865697694474827,-1.39018374700948,12,12,-1.656640737893898,-12.78765199498021,-12.86569769447483,-0.4198699744927479,0.2896109319116845,0.3144328873755216,0.065,18,0.005436677557197103
61.8,8,0.065,18,0.0053127288282611,6.260333204216788,-4.728424358172747,-4.801560826475627,-1.28599475278474,12,12,-1.739666795783212,-12.72842435817275,-12.80156082647563,-0.4151302894465722,0.2961381840373178,0.3206843399960012,0.065,18,0.005352576170205147
62,8,0.065,18,0.005241929150973436,6.178256412437305,-4.667908963732236,-4.736190747856621,-1.182009189983294,12,12,-1.821743587562695,-12.66790896373224,-12.73619074785662,-0.4103839588974137,0.3025769722025554,0.3268503930950312,0.065,18,0.005277328989617268
62.2,8,0.065,18,0.005180096972969389,6.097130527516192,-4.606122952063914,-4.66960399294512,-1.078242833568749,12,12,-1.902869472483808,-12.60612295206391,-12.66960399294512,-0.4056294246055691,0.3089300583416106,0.3329337745575033,0.065,18,0.005211013061971413
62.40000000000001,8,0.065,18,0.005127295604996441,6.016957499008271,-4.543082914424099,-4.601816553653718,-0.9747118038188606,12,12,-1.983042500991729,-12.5430829144241,-12.60181655365372,-0.4008651425396018,0.3152001881990755,0.3389371964570138,0.065,18,0.005153696288982915
62.6,8,0.065,18,0.005083579111041701,5.93773958204742,-4.478804896489415,-4.532843882974686,-0.8714325617341682,12,12,-2.06226041795258,-12.47880489648941,-12.53284388297469,-0.3960895848042539,0.3213900896734184,0.3448633533951574,0.065,18,0.005105437358019071
62.8,8,0.065,18,0.005048992252975101,5.859479333736103,-4.413304402256231,-4.462700898805425,-0.7684219039921256,12,12,-2.140520666263897,-12.41330440225623,-12.46270089880542,-0.3913012415565841,0.3275024711659221,0.3507149208463085,0.065,18,0.005066285682008401
63,8,0.065,18,0.005023570444717162,5.782179609154454,-4.346596398268852,-4.39140198810348,-0.6656969574502777,12,12,-2.217820390845546,-12.34659639826885,-12.39140198810348,-0.3864986229082435,0.3335400199368957,0.3564945535097223,0.065,18,0.005036281348846132
63.2,8,0.065,18,0.005007339715978221,5.705843556992092,-4.278695318174655,-4.318961011369324,-0.5632751732026242,12,12,-2.294156443007908,-12.27869531817466,-12.31896101136932,-0.3816802608118115,0.3395054004709848,0.3622048836707799,0.065,18,0.005015455080347691
63.40000000000001,8,0.065,18,0.005000316685606292,5.630474614806266,-4.209615067603976,-4.245391307454686,-0.4611743201936894,12,12,-2.369525385193734,-12.20961506760398,-12.24539130745469,-0.376844710929131,0.3454012528533917,0.3678485195731891,0.065,18,0.005003828200792256
63.6,8,0.065,18,0.005002508544570817,5.556076503910345,-4.139369029372214,-4.170705698693898,-0.359412478395355,12,12,-2.443923496089655,-12.13936902937222,-12.1707056986939,-0.3719905544796037,0.3512301911588086,0.3734280438039416,0.065,18,0.005001412615088554
63.8,8,0.065,18,0.005013913048599739,5.482653223897061,-4.067970069001245,-4.094916496355336,-0.2580080315519412,12,12,-2.517346776102939,-12.06797006900124,-12.09491649635534,-0.3671164000664239,0.3569948018548471,0.3789460116928119,0.065,18,0.005008210796585278
64,8,0.065,18,0.005034518520477435,5.41020904680131,-3.995430540556897,-4.018035506409703,-0.1569796594995179,12,12,-2.58979095319869,-11.9954305405569,-12.0180355064097,-0.3622208854787535,0.3626976422217355,0.3844049497281673,0.065,18,0.005024215784538587
