branch,sample_idx,gain,re,im
1,69,68.000000000000,-1.061296101400,-0.172724318661
1,70,69.000000000000,-1.059790516780,-0.170946596640
1,71,70.000000000000,-1.058356282840,-0.169218704323
1,72,71.000000000000,-1.056988511910,-0.167538640376
1,73,72.000000000000,-1.055682746020,-0.165904484672
1,74,73.000000000000,-1.054434911480,-0.164314398460
1,75,74.000000000000,-1.053241279030,-0.162766623498
1,76,75.000000000000,-1.052098428760,-0.161259480416
1,77,76.000000000000,-1.051003219140,-0.159791366551
1,78,77.000000000000,-1.049952759620,-0.158360753408
1,79,78.000000000000,-1.048944386420,-0.156966183877
1,80,79.000000000000,-1.047975640930,-0.155606269320
1,81,80.000000000000,-1.047044250610,-0.154279686577
1,82,81.000000000000,-1.046148111850,-0.152985174970
1,83,82.000000000000,-1.045285274740,-0.151721533334
1,84,83.000000000000,-1.044453929430,-0.150487617106
1,85,84.000000000000,-1.043652393870,-0.149282335499
1,86,85.000000000000,-1.042879102830,-0.148104648771
1,87,86.000000000000,-1.042132598020,-0.146953565598
1,88,87.000000000000,-1.041411519160,-0.145828140567
1,89,88.000000000000,-1.040714595990,-0.144727471773
1,90,89.000000000000,-1.040040640930,-0.143650698542
1,91,90.000000000000,-1.039388542570,-0.142596999261
1,92,91.000000000000,-1.038757259660,-0.141565589326
1,93,92.000000000000,-1.038145815690,-0.140555719193
1,94,93.000000000000,-1.037553294020,-0.139566672542
1,95,94.000000000000,-1.036978833310,-0.138597764536
1,96,95.000000000000,-1.036421623490,-0.137648340179
1,97,96.000000000000,-1.035880901990,-0.136717772763
1,98,97.000000000000,-1.035355950360,-0.135805462409
1,99,98.000000000000,-1.034846091090,-0.134910834686
1,100,99.000000000000,-1.034350684800,-0.134033339306
1,101,100.000000000000,-1.033869127580,-0.133172448903
1,102,101.000000000000,-1.033400848570,-0.132327657866
1,103,102.000000000000,-1.032945307740,-0.131498481256
1,104,103.000000000000,-1.032501993880,-0.130684453770
1,105,104.000000000000,-1.032070422660,-0.129885128772
1,106,105.000000000000,-1.031650134910,-0.129100077376
1,107,106.000000000000,-1.031240695030,-0.128328887578
1,108,107.000000000000,-1.030841689480,-0.127571163442
1,109,108.000000000000,-1.030452725440,-0.126826524328
1,110,109.000000000000,-1.030073429470,-0.126094604162
1,111,110.000000000000,-1.029703446390,-0.125375050750
1,112,111.000000000000,-1.029342438170,-0.124667525125
1,113,112.000000000000,-1.028990082880,-0.123971700933
1,114,113.000000000000,-1.028646073790,-0.123287263849
1,115,114.000000000000,-1.028310118440,-0.122613911032
1,116,115.000000000000,-1.027981937860,-0.121951350598
1,117,116.000000000000,-1.027661265800,-0.121299301130
1,118,117.000000000000,-1.027347847960,-0.120657491210
1,119,118.000000000000,-1.027041441420,-0.120025658974
1,120,119.000000000000,-1.026741813940,-0.119403551699
1,121,120.000000000000,-1.026448743390,-0.118790925398
1,122,121.000000000000,-1.026162017250,-0.118187544444
1,123,122.000000000000,-1.025881432060,-0.117593181215
1,124,123.000000000000,-1.025606792940,-0.117007615751
1,125,124.000000000000,-1.025337913160,-0.116430635434
1,126,125.000000000000,-1.025074613730,-0.115862034675
1,127,126.000000000000,-1.024816722950,-0.115301614631
1,128,127.000000000000,-1.024564076130,-0.114749182921
1,129,128.000000000000,-1.024316515140,-0.114204553363
1,130,129.000000000000,-1.023374181050,-0.112100536361
1,131,130.000000000000,-1.022502083550,-0.110107910878
2,1,0.000000000000,-1.220276920960,0.000000000000
2,2,1.000000000000,-1.220276920960,0.000000000000
2,3,2.000000000000,-1.220695836870,0.000000000000
2,4,3.000000000000,-1.221117821470,0.000000000000
2,5,4.000000000000,-1.221542917080,0.000000000000
2,6,5.000000000000,-1.221971166910,0.000000000000
2,7,6.000000000000,-1.223716604710,0.000000000000
2,8,7.000000000000,-1.225516213090,0.000000000000
2,9,8.000000000000,-1.227373239170,0.000000000000
2,10,9.000000000000,-1.229291232210,0.000000000000
2,11,10.000000000000,-1.231274082690,0.000000000000
2,12,11.000000000000,-1.233326068250,0.000000000000
2,13,12.000000000000,-1.235451907600,0.000000000000
2,14,13.000000000000,-1.237656824340,0.000000000000
2,15,14.000000000000,-1.239946622910,0.000000000000
2,16,15.000000000000,-1.242327779720,0.000000000000
2,17,16.000000000000,-1.244807553060,0.000000000000
2,18,17.000000000000,-1.255893766250,0.000000000000
2,19,18.000000000000,-1.269468071250,0.000000000000
2,20,19.000000000000,-1.286962266290,0.000000000000
2,21,20.000000000000,-1.311737621490,0.000000000000
2,22,21.000000000000,-1.320016735770,0.000000000000
2,23,22.000000000000,-1.329743649650,0.000000000000
2,24,23.000000000000,-1.341652016900,0.000000000000
2,25,24.000000000000,-1.357376875460,0.000000000000
2,26,25.000000000000,-1.419563512240,0.000000000000
2,27,26.000000000000,-1.413969065540,0.055240053499
2,28,27.000000000000,-1.408385324590,0.077582941767
2,29,28.000000000000,-1.402814363710,0.094351347144
2,30,29.000000000000,-1.397258288800,0.108166360368
2,31,30.000000000000,-1.375227263850,0.148416753168
2,32,31.000000000000,-1.353618539290,0.175953987312
2,33,32.000000000000,-1.332589832030,0.196222103151
2,34,33.000000000000,-1.310312340660,0.212711048004
2,35,34.000000000000,-1.289123020410,0.224624926613
2,36,35.000000000000,-1.269182969600,0.232977059934
2,37,36.000000000000,-1.250605533960,0.238511432590
2,38,37.000000000000,-1.233449564010,0.241818379461
2,39,38.000000000000,-1.217720848880,0.243382013930
2,40,39.000000000000,-1.203380137210,0.243601277779
2,41,40.000000000000,-1.190354738900,0.242801737727
2,42,41.000000000000,-1.178550698190,0.241244978940
2,43,42.000000000000,-1.167863448200,0.239137737617
2,44,43.000000000000,-1.158185984390,0.236640935997
2,45,44.000000000000,-1.149414461610,0.233878194053
2,46,45.000000000000,-1.141451595450,0.230943410937
2,47,46.000000000000,-1.134208409990,0.227907206978
2,48,47.000000000000,-1.127604850900,0.224822203374
2,49,48.000000000000,-1.121569682860,0.221727235926
2,50,49.000000000000,-1.116039975670,0.218650654716
2,51,50.000000000000,-1.110960385430,0.215612873941
2,52,51.000000000000,-1.106282361070,0.212628324619
2,53,52.000000000000,-1.101963354490,0.209706941222
