t,k2,k5,k8,pid
1.201668985,0.2359428111,0.5683390112,0.8755765734,0.9407631578
1.235048679,0.25022199,0.6009200475,0.922878363,0.9736757319
1.268428373,0.2647962221,0.6339106115,0.970341955,1.006071087
1.301808067,0.2796495996,0.667250116,1.017842039,1.037901154
1.335187761,0.2947660823,0.7008774353,1.065252677,1.06912025
1.368567455,0.3101295334,0.7347310633,1.112447703,1.09968508
1.401947149,0.3257237539,0.7687492676,1.159301117,1.129554732
1.435326843,0.3415325138,0.8028702392,1.20568748,1.158690671
1.468706537,0.3575395823,0.837032238,1.251482289,1.187056728
1.502086231,0.3737287555,0.8711737338,1.296562365,1.214619095
1.535465925,0.3900838826,0.9052335437,1.340806215,1.241346298
1.568845619,0.4065888899,0.9391509645,1.384094396,1.267209192
1.602225313,0.4232278041,0.972865902,1.426309872,1.292180933
1.635605007,0.4399847731,1.006318995,1.467338355,1.316236957
1.668984701,0.4568440866,1.039451736,1.507068641,1.339354954
1.702364395,0.4737901943,1.072206588,1.545392932,1.361514845
1.735744089,0.4908077234,1.104527095,1.582207153,1.382698744
1.769123783,0.5078814949,1.136357992,1.617411249,1.402890932
1.802503477,0.524996539,1.167645305,1.650909473,1.42207782
1.835883171,0.5421381088,1.198336454,1.682610666,1.440247911
1.869262865,0.5592916938,1.228380347,1.712428511,1.457391763
1.902642559,0.576443032,1.257727465,1.740281788,1.473501948
1.936022253,0.5935781211,1.286329956,1.766094596,1.488573011
1.969401947,0.6106832293,1.31414171,1.78979658,1.502601421
2.002781641,0.6277449046,1.341118437,1.811323123,1.51558553
2.036161335,0.644749984,1.367217741,1.830615534,1.527525521
2.069541029,0.6616856017,1.392399184,1.847621214,1.538423365
2.102920723,0.6785391962,1.416624353,1.862293805,1.548282764
2.136300417,0.6952985177,1.439856912,1.874593322,1.557109103
2.169680111,0.7119516339,1.46206266,1.884486268,1.564909397
2.203059805,0.7284869357,1.483209577,1.891945729,1.571692236
2.236439499,0.7448931421,1.503267868,1.89695145,1.57746773
2.269819193,0.7611593048,1.522210001,1.899489896,1.582247454
2.303198887,0.7772748119,1.540010743,1.899554291,1.586044392
2.336578581,0.7932293916,1.556647185,1.897144636,1.588872878
2.369958275,0.8090131147,1.572098771,1.892267716,1.590748537
2.403337969,0.8246163971,1.586347312,1.884937081,1.591688232
2.436717663,0.840030002,1.599377007,1.875173009,1.591709999
2.470097357,0.8552450412,1.611174448,1.863002452,1.590832991
2.503477051,0.870252976,1.621728628,1.848458969,1.589077417
2.536856745,0.8850456183,1.631030938,1.831582625,1.586464486
2.570236439,0.8996151306,1.639075169,1.812419891,1.583016344
2.603616134,0.9139540259,1.645857498,1.791023513,1.578756013
2.636995828,0.9280551675,1.651376478,1.767452367,1.573707338
2.670375522,0.9419117678,1.655633018,1.7417713,1.56789492
2.703755216,0.9555173874,1.658630366,1.714050954,1.561344065
2.73713491,0.9688659336,1.660374079,1.684367569,1.554080719
2.770514604,0.9819516585,1.660871992,1.652802774,1.546131412
2.803894298,0.9947691573,1.660134189,1.619443368,1.537523202
2.837273992,1.007313365,1.65817296,1.584381075,1.528283618
2.870653686,1.019579556,1.655002762,1.547712298,1.5184406
2.90403338,1.031563337,1.650640173,1.509537853,1.508022448
2.937413074,1.043260649,1.645103841,1.469962689,1.497057765
2.970792768,1.05466776,1.638414433,1.429095604,1.485575404
3.004172462,1.065781263,1.63059458,1.387048945,1.473604415
3.037552156,1.076598072,1.621668816,1.343938296,1.46117399
3.07093185,1.087115417,1.611663516,1.299882168,1.448313418
3.104311544,1.097330842,1.600606832,1.255001666,1.435052029
3.137691238,1.107242198,1.588528624,1.209420161,1.421419152
3.171070932,1.116847639,1.575460392,1.163262946,1.40744406
3.204450626,1.126145619,1.561435198,1.116656899,1.393155929
3.23783032,1.135134885,1.546487596,1.06973013,1.378583792
3.271210014,1.143814471,1.530653553,1.022611627,1.363756494
3.304589708,1.152183697,1.513970369,0.9754309072,1.348702651
3.337969402,1.160242159,1.496476594,0.9283176555,1.333450608
3.371349096,1.167989724,1.478211951,0.8814013721,1.3180284
3.40472879,1.17542653,1.459217248,0.8348110146,1.302463715
3.438108484,1.18255297,1.439534289,0.7886746445,1.286783855
3.471488178,1.189369696,1.419205797,0.7431190748,1.271015703
3.504867872,1.195877608,1.398275316,0.6982695217,1.255185688
3.538247566,1.202077847,1.376787131,0.6542492605,1.239319753
3.57162726,1.207971794,1.354786174,0.6111792868,1.223443326
3.605006954,1.213561057,1.332317935,0.5691779837,1.20758129
3.638386648,1.21884747,1.309428377,0.5283607969,1.191757953
3.671766342,1.223833084,1.28616384,0.4888399173,1.175997026
3.705146036,1.228520163,1.262570956,0.4507239725,1.160321597
3.73852573,1.232911173,1.238696557,0.4141177281,1.144754109
3.771905424,1.237008781,1.214587587,0.3791218004,1.129316336
3.805285118,1.240815845,1.190291015,0.3458323792,1.114029367
3.838664812,1.244335408,1.165853745,0.3143409637,1.098913586
3.872044506,1.247570693,1.14132253,0.2847341114,1.083988655
3.9054242,1.250525092,1.116743887,0.2570931993,1.0692735
3.938803894,1.253202167,1.092164012,0.2314942012,1.054786297
3.972183588,1.255605636,1.067628695,0.2080074782,1.04054446
4.005563282,1.25773937,1.043183244,0.1866975859,1.026564633
4.038942976,1.259607387,1.018872396,0.1676230965,1.012862675
4.07232267,1.261213842,0.9947402483,0.1508364378,0.9994536588
4.105702364,1.262563026,0.9708301737,0.1363837497,0.9863518605
4.139082058,1.263659352,0.9471847517,0.1243047566,0.9735707572
4.172461752,1.264507358,0.9238456937,0.1146326589,0.9611230226
4.205841446,1.26511169,0.9008537736,0.1073940413,0.9490205255
4.23922114,1.265477105,0.8782487598,0.1026088,0.9372743286
4.272600834,1.265608458,0.8560693506,0.1002900878,0.9258946895
4.305980529,1.265510699,0.8343531107,0.1004442781,0.9148910626
4.339360223,1.265188868,0.813136412,0.1030709474,0.9042721018
4.372739917,1.264648084,0.7924543757,0.1081628764,0.8940456656
4.406119611,1.263893543,0.7723408186,0.1157060698,0.8842188217
4.439499305,1.262930511,0.7528282008,0.1256797949,0.8747978544
4.472878999,1.261764317,0.7339475779,0.1380566386,0.8657882718
4.506258693,1.260400347,0.715728555,0.1528025826,0.8571948146
4.539638387,1.258844041,0.6981992447,0.1698770967,0.8490214662
4.573018081,1.257100884,0.6813862275,0.189233251,0.8412714632
4.606397775,1.255176401,0.6653145163,0.210817844,0.8339473072
4.639777469,1.253076153,0.6500075228,0.2345715493,0.8270507773
4.673157163,1.250805731,0.635487029,0.2604290785,0.8205829436
4.706536857,1.248370747,0.6217731602,0.2883193609,0.8145441815
4.739916551,1.245776835,0.6088843622,0.3181657383,0.8089341868
4.773296245,1.243029642,0.5968373821,0.3498861764,0.8037519913
4.806675939,1.240134821,0.5856472516,0.3833934897,0.7989959793
4.840055633,1.237098032,0.5753272746,0.4185955815,0.7946639051
4.873435327,1.233924931,0.5658890169,0.4553956968,0.7907529099
4.906815021,1.230621169,0.5573423009,0.4936926885,0.7872595411
4.940194715,1.227192386,0.5496952015,0.533381295,0.7841797703
4.973574409,1.223644206,0.5429540477,0.5743524299,0.781509013
5.006954103,1.219982232,0.5371234251,0.6164934818,0.7792421483
5.040333797,1.216212046,0.5322061832,0.6596886234,0.7773735389
5.073713491,1.212339199,0.5282034454,0.7038191304,0.7758970516
5.107093185,1.20836921,0.5251146219,0.7487637077,0.7748060784
5.140472879,1.204307561,0.522937426,0.7943988224,0.7740935572
5.173852573,1.200159694,0.5216678932,0.8405990438,0.7737519934
5.207232267,1.195931008,0.5213004034,0.8872373878,0.7737734812
5.240611961,1.191626851,0.5218277058,0.9341856663,0.7741497255
5.273991655,1.187252522,0.5232409471,0.9813148393,0.7748720637
5.307371349,1.182813265,0.5255297018,1.028495369,0.7759314874
5.340751043,1.178314265,0.5286820052,1.075597578,0.7773186644
5.374130737,1.173760647,0.5326843899,1.122492003,0.7790239609
5.407510431,1.16915747,0.5375219236,1.169049751,0.781037463
5.440890125,1.164509728,0.5431782497,1.215142855,0.7833489991
5.474269819,1.159822344,0.5496356309,1.260644627,0.7859481611
5.507649513,1.155100167,0.5568749938,1.305430002,0.7888243265
5.541029207,1.150347972,0.5648759762,1.349375885,0.79196668
5.574408901,1.145570457,0.5736169769,1.392361488,0.7953642343
5.607788595,1.140772239,0.5830752062,1.434268662,0.7990058518
5.641168289,1.135957852,0.5932267392,1.474982223,0.8028802648
5.674547983,1.131131749,0.60404657,1.514390268,0.806976097
5.707927677,1.126298292,0.6155086683,1.552384482,0.811281883
5.741307371,1.121461759,0.6275860364,1.588860434,0.8157860888
5.774687065,1.116626336,0.6402507682,1.623717869,0.8204771311
5.808066759,1.111796119,0.6534741092,1.65686098,0.8253433968
5.841446453,1.106975108,0.6672265174,1.688198669,0.8303732619
5.874826147,1.102167212,0.6814777252,1.717644804,0.83555511
5.908205841,1.097376244,0.6961968026,1.745118451,0.8408773499
5.941585535,1.092605917,0.7113522199,1.770544096,0.8463284339
5.974965229,1.08785985,0.7269119124,1.793851855,0.8518968744
6.008344924,1.08314156,0.7428433444,1.814977667,0.8575712609
6.041724618,1.078454467,0.759113574,1.833863465,0.8633402759
6.075104312,1.073801889,0.7756893183,1.85045734,0.8691927106
6.108484006,1.069187042,0.7925370178,1.864713684,0.87511748
6.1418637,1.064613042,0.8096229021,1.876593312,0.8811036378
6.175243394,1.060082902,0.8269130541,1.886063572,0.8871403899
6.208623088,1.055599533,0.8443734746,1.893098435,0.8932171083
6.242002782,1.051165743,0.8619701464,1.897678564,0.8993233435
6.275382476,1.046784235,0.8796690978,1.899791372,0.9054488376
6.30876217,1.042457614,0.8974364655,1.89943105,0.9115835355
6.342141864,1.038188376,0.9152385564,1.89659859,0.917717596
6.375521558,1.033978919,0.9330419095,1.891301776,0.9238414027
6.408901252,1.029831535,0.9508133556,1.883555167,0.9299455739
6.442280946,1.025748415,0.9685200767,1.873380056,0.936020972
6.47566064,1.021731648,0.986129664,1.860804408,0.9420587121
6.509040334,1.017783221,1.003610175,1.845862789,0.9480501705
6.542420028,1.01390502,1.020930188,1.828596267,0.953986992
6.575799722,1.010098829,1.038058858,1.8090523,0.9598610971
6.609179416,1.006366334,1.054965965,1.787284605,0.9656646885
6.64255911,1.002709122,1.071621971,1.763353013,0.9713902567
6.675938804,0.9991286787,1.087998062,1.737323301,0.9770305854
6.709318498,0.9956263955,1.104066203,1.709267012,0.9825787561
6.742698192,0.9922035655,1.119799174,1.679261262,0.9880281522
6.776077886,0.9888613864,1.135170623,1.647388522,0.9933724626
6.80945758,0.9856009614,1.1501551,1.613736397,0.9986056845
6.842837274,0.9824233002,1.164728103,1.578397382,1.003722126
6.876216968,0.9793293201,1.17886611,1.541468608,1.008716408
6.909596662,0.9763198472,1.192546614,1.503051576,1.013583465
6.942976356,0.9733956181,1.205748162,1.463251878,1.018318548
6.97635605,0.9705572804,1.21845038,1.422178904,1.02291722
7.009735744,0.9678053949,1.230634002,1.379945547,1.027375361
7.043115438,0.9651404364,1.242280899,1.336667888,1.031689167
