t,before,after
11.64440735,0.5,0.9323437384
11.71953255,0.5,0.9331254369
11.79465776,0.5,0.9338981036
11.86978297,0.5,0.934661843
11.94490818,0.5,0.9354167581
12.02003339,0.5,0.936162951
12.0951586,0.5,0.9369005224
12.17028381,0.5,0.9376295719
12.24540902,0.5,0.938350198
12.32053422,0.5,0.939062498
12.39565943,0.5,0.9397665681
12.47078464,0.5,0.9404625035
12.54590985,0.5,0.9411503979
12.62103506,0.5,0.9418303445
12.69616027,0.5,0.942502435
12.77128548,0.5,0.9431667602
12.84641068,0.5,0.9438234098
12.92153589,0.5,0.9444724725
12.9966611,0.5,0.9451140359
13.07178631,0.5,0.9457481867
13.14691152,0.5,0.9463750106
13.22203673,0.5,0.9469945921
13.29716194,0.5,0.9476070151
13.37228715,0.5,0.9482123621
13.44741235,0.5,0.9488107149
13.52253756,0.5,0.9494021544
13.59766277,0.5,0.9499867604
13.67278798,0.5,0.9505646119
13.74791319,0.5,0.951135787
13.8230384,0.5,0.9517003627
13.89816361,0.5,0.9522584153
13.97328881,0.5,0.9528100201
14.04841402,0.5,0.9533552518
14.12353923,0.5,0.9538941838
14.19866444,0.5,0.9544268891
14.27378965,0.5,0.9549534395
14.34891486,0.5,0.9554739061
14.42404007,0.5,0.9559883593
14.49916528,0.5,0.9564968685
14.57429048,0.5,0.9569995024
14.64941569,0.5,0.9574963289
14.7245409,0.5,0.9579874151
14.79966611,0.5,0.9584728272
14.87479132,0.5,0.958952631
14.94991653,0.5,0.9594268911
15.02504174,0.5,0.9598956716
15.10016694,0.5,0.9603590358
15.17529215,0.5,0.9608170464
15.25041736,0.5,0.9612697651
15.32554257,0.5,0.9617172531
15.40066778,0.5,0.9621595708
15.47579299,0.5,0.962596778
15.5509182,0.5,0.9630289337
15.62604341,0.5,0.9634560963
15.70116861,0.5,0.9638783235
15.77629382,0.5,0.9642956723
15.85141903,0.5,0.9647081991
15.92654424,0.5,0.9651159595
16.00166945,0.5,0.9655190087
16.07679466,0.5,0.9659174011
16.15191987,0.5,0.9663111904
16.22704508,0.5,0.9667004299
16.30217028,0.5,0.9670851722
16.37729549,0.5,0.9674654691
16.4524207,0.5,0.9678413722
16.52754591,0.5,0.968212932
16.60267112,0.5,0.9685801989
16.67779633,0.5,0.9689432223
16.75292154,0.5,0.9693020514
16.82804674,0.5,0.9696567346
16.90317195,0.5,0.9700073198
16.97829716,0.5,0.9703538544
17.05342237,0.5,0.9706963851
17.12854758,0.5,0.9710349582
17.20367279,0.5,0.9713696194
17.278798,0.5,0.971700414
17.35392321,0.5,0.9720273866
17.42904841,0.5,0.9723505813
17.50417362,0.5,0.9726700419
17.57929883,0.5,0.9729858114
17.65442404,0.5,0.9732979326
17.72954925,0.5,0.9736064475
17.80467446,0.5,0.9739113978
17.87979967,0.5,0.9742128248
17.95492487,0.5,0.974510769
18.03005008,0.5,0.9748052709
18.10517529,0.5,0.97509637
18.1803005,0.5,0.9753841058
18.25542571,0.5,0.9756685172
18.33055092,0.5,0.9759496424
18.40567613,0.5,0.9762275195
18.48080134,0.5,0.9765021861
18.55592654,0.5,0.9767736791
18.63105175,0.5,0.9770420353
18.70617696,0.5,0.977307291
18.78130217,0.5,0.9775694819
18.85642738,0.5,0.9778286434
18.93155259,0.5,0.9780848106
19.0066778,0.5,0.9783380181
19.08180301,0.5,0.9785883
19.15692821,0.5,0.9788356902
19.23205342,0.5,0.979080222
19.30717863,0.5,0.9793219285
19.38230384,0.5,0.9795608423
19.45742905,0.5,0.9797969957
19.53255426,0.5,0.9800304207
19.60767947,0.5,0.9802611486
19.68280467,0.5,0.9804892107
19.75792988,0.5,0.9807146378
19.83305509,0.5,0.9809374603
19.9081803,0.5,0.9811577083
19.98330551,0.5,0.9813754116
20.05843072,0.5,0.9815905996
20.13355593,0.5,0.9818033012
20.20868114,0.5,0.9820135454
20.28380634,0.5,0.9822213603
20.35893155,0.5,0.9824267742
20.43405676,0.5,0.9826298147
20.50918197,0.5,0.9828305094
20.58430718,0.5,0.9830288851
20.65943239,0.5,0.9832249689
20.7345576,0.5,0.9834187871
20.8096828,0.5,0.983610366
20.88480801,0.5,0.9837997313
20.95993322,0.5,0.9839869088
21.03505843,0.5,0.9841719235
21.11018364,0.5,0.9843548007
21.18530885,0.5,0.9845355649
21.26043406,0.5,0.9847142405
21.33555927,0.5,0.9848908517
21.41068447,0.5,0.9850654224
21.48580968,0.5,0.985237976
21.56093489,0.5,0.985408536
21.6360601,0.5,0.9855771254
21.71118531,0.5,0.9857437668
21.78631052,0.5,0.9859084829
21.86143573,0.5,0.9860712959
21.93656093,0.5,0.9862322278
22.01168614,0.5,0.9863913002
22.08681135,0.5,0.9865485347
22.16193656,0.5,0.9867039525
22.23706177,0.5,0.9868575747
22.31218698,0.5,0.9870094219
22.38731219,0.5,0.9871595146
22.4624374,0.5,0.9873078732
22.5375626,0.5,0.9874545177
22.61268781,0.5,0.9875994678
22.68781302,0.5,0.9877427432
22.76293823,0.5,0.9878843632
22.83806344,0.5,0.9880243469
22.91318865,0.5,0.9881627133
22.98831386,0.5,0.9882994809
23.06343907,0.5,0.9884346684
23.13856427,0.5,0.9885682939
23.21368948,0.5,0.9887003755
23.28881469,0.5,0.988830931
23.3639399,0.5,0.9889599781
23.43906511,0.5,0.9890875342
23.51419032,0.5,0.9892136165
23.58931553,0.5,0.9893382421
23.66444073,0.5,0.9894614277
23.73956594,0.5,0.9895831901
23.81469115,0.5,0.9897035456
23.88981636,0.5,0.9898225105
23.96494157,0.5,0.9899401009
24.04006678,0.5,0.9900563327
24.11519199,0.5,0.9901712215
24.1903172,0.5,0.990284783
24.2654424,0.5,0.9903970323
24.34056761,0.5,0.9905079847
24.41569282,0.5,0.9906176552
24.49081803,0.5,0.9907260585
24.56594324,0.5,0.9908332094
24.64106845,0.5,0.9909391222
24.71619366,0.5,0.9910438113
24.79131886,0.5,0.9911472908
24.86644407,0.5,0.9912495748
24.94156928,0.5,0.9913506769
25.01669449,0.5,0.991450611
25.0918197,0.5,0.9915493904
25.16694491,0.5,0.9916470285
25.24207012,0.5,0.9917435384
25.31719533,0.5,0.9918389334
25.39232053,0.5,0.9919332261
25.46744574,0.5,0.9920264293
25.54257095,0.5,0.9921185558
25.61769616,0.5,0.9922096177
25.69282137,0.5,0.9922996276
25.76794658,0.5,0.9923885975
25.84307179,0.5,0.9924765394
25.91819699,0.5,0.9925634652
25.9933222,0.5,0.9926493867
26.06844741,0.5,0.9927343155
26.14357262,0.5,0.992818263
26.21869783,0.5,0.9929012406
26.29382304,0.5,0.9929832594
26.36894825,0.5,0.9930643307
26.44407346,0.5,0.9931444652
26.51919866,0.5,0.9932236738
26.59432387,0.5,0.9933019673
26.66944908,0.5,0.9933793562
26.74457429,0.5,0.9934558509
26.8196995,0.5,0.9935314618
26.89482471,0.5,0.9936061991
26.96994992,0.5,0.9936800729
27.04507513,0.5,0.9937530931
