t,psi_ref,psi,psi_meas,x,y,cmd,delta
4.8,0.019707253,0.0027008889,0.0002154169,15.36,0.00018880391,0.036586035,0.021260799
4.85,0.02002484,0.002785006,0.00023111772,15.52,0.00019658111,0.037075313,0.021590268
4.9,0.020347541,0.0028709167,0.00024755024,15.68,0.00020459822,0.037570778,0.021923196
4.95,0.020675437,0.002958644,0.00026473059,15.84,0.00021286032,0.038072556,0.022259641
5,0.021008613,0.0030482112,0.00028267496,16,0.00022137253,0.038580776,0.022599664
5.05,0.021347152,0.0031396418,0.00030139958,16.16,0.00023014006,0.039095567,0.022943329
5.1,0.021691143,0.0032329594,0.00032092074,16.32,0.00023916819,0.039617059,0.023290698
5.15,0.022040671,0.0033281879,0.00034125477,16.48,0.00024846224,0.040145387,0.023641838
5.2,0.022395826,0.0034253516,0.0003624181,16.64,0.00025802763,0.040680684,0.023996814
5.25,0.022756699,0.0035244747,0.00038442721,16.8,0.00026786982,0.041223086,0.024355694
5.3,0.023123381,0.0036255819,0.00040729867,16.96,0.00027799435,0.041772731,0.024718549
5.35,0.023495966,0.0037286981,0.00043104913,17.12,0.00028840684,0.042329759,0.025085449
5.4,0.023874548,0.0038338483,0.00045569534,17.28,0.00029911296,0.042894311,0.025456467
5.45,0.024259223,0.003941058,0.00048125414,17.44,0.00031011847,0.043466531,0.025831677
5.5,0.024650091,0.0040503529,0.00050774248,17.6,0.00032142919,0.044046563,0.026211154
5.55,0.025047249,0.0041617589,0.00053517742,17.76,0.00033305102,0.044634554,0.026594975
5.6,0.0254508,0.0042753021,0.00056357613,17.92,0.00034498991,0.045230654,0.026983218
5.65,0.025860846,0.0043910091,0.0005929559,18.08,0.00035725192,0.045835016,0.027375964
5.7,0.026277491,0.0045089067,0.00062333415,18.24,0.00036984317,0.046447793,0.027773294
5.75,0.02670084,0.004629022,0.00065472839,18.4,0.00038276983,0.047069146,0.02817529
5.8,0.027131003,0.0047513824,0.00068715623,18.56,0.0003960382,0.047699238,0.028582039
5.85,0.027568088,0.0048760156,0.00072063543,18.72,0.0004096546,0.048338233,0.028993627
5.9,0.028012206,0.0050029497,0.00075518383,18.88,0.00042362547,0.0489863,0.029410141
5.95,0.02846347,0.005132213,0.00079081938,19.04,0.00043795731,0.049643613,0.029831671
6,0.028921995,0.0052638344,0.00082756014,19.2,0.00045265671,0.050310348,0.030258311
6.05,0.029387897,0.0053978428,0.00086542429,19.36,0.00046773033,0.050986683,0.030690152
6.1,0.029861296,0.0055342677,0.00090443009,19.52,0.00048318492,0.051672802,0.03112729
6.15,0.03034231,0.0056731389,0.00094459595,19.68,0.00049902732,0.052368892,0.031569824
6.2,0.030831063,0.0058144865,0.00098594035,19.84,0.00051526443,0.053075142,0.032017851
6.25,0.031327679,0.005958341,0.0010284819,20,0.00053190325,0.053791746,0.032471474
6.3,0.031832283,0.0061047335,0.0010722393,20.16,0.00054895088,0.054518901,0.032930795
6.35,0.032345004,0.0062536953,0.0011172314,20.32,0.0005664145,0.055256808,0.03339592
6.4,0.032865971,0.006405258,0.0011634771,20.48,0.00058430135,0.056005672,0.033866957
6.45,0.033395319,0.0065594538,0.0012109956,20.64,0.0006026188,0.0567657,0.034344014
6.5,0.03393318,0.0067163153,0.0012598058,20.8,0.00062137429,0.057537105,0.034827203
6.55,0.034479691,0.0068758755,0.0013099272,20.96,0.00064057536,0.058320102,0.035316639
6.6,0.035034991,0.0070381679,0.0013613792,21.12,0.00066022963,0.05911491,0.035812436
6.65,0.035599221,0.0072032263,0.0014141812,21.28,0.00068034483,0.059921754,0.036314714
6.7,0.036172525,0.0073710852,0.001468353,21.44,0.00070092879,0.060740861,0.036823592
6.75,0.036755046,0.0075417793,0.0015239143,21.6,0.00072198941,0.06157246,0.037339193
6.8,0.037346934,0.0077153441,0.001580885,21.76,0.00074353471,0.062416789,0.037861643
6.85,0.037948339,0.0078918152,0.0016392851,21.92,0.00076557282,0.063274085,0.038391069
6.9,0.038559412,0.0080712292,0.0016991349,22.08,0.00078811194,0.064144591,0.038927601
6.95,0.039180309,0.0082536227,0.0017604546,22.24,0.0008111604,0.065028556,0.039471371
7,0.039811188,0.0084390331,0.0018232647,22.4,0.00083472663,0.06592623,0.040022513
7.05,0.040452208,0.0086274984,0.0018875858,22.56,0.00085881915,0.066837869,0.040581167
7.1,0.041103531,0.0088190571,0.0019534386,22.72,0.0008834466,0.067763733,0.04114747
7.15,0.041765324,0.009013748,0.0020208441,22.88,0.00090861774,0.068704086,0.041721566
7.2,0.042437752,0.0092116109,0.0020898232,23.04,0.00093434141,0.069659197,0.0423036
7.25,0.043120987,0.0094126859,0.0021603972,23.2,0.00096062658,0.070629338,0.04289372
7.3,0.043815202,0.0096170138,0.0022325875,23.36,0.00098748235,0.071614786,0.043492075
7.35,0.044520573,0.0098246359,0.0023064156,23.52,0.0010149179,0.072615824,0.04409882
7.4,0.045237278,0.010035594,0.0023819031,23.68,0.0010429426,0.073632737,0.04471411
7.45,0.045965498,0.010249932,0.0024590721,23.84,0.0010715658,0.074665817,0.045338104
7.5,0.046705418,0.010467691,0.0025379445,24,0.0011007971,0.07571536,0.045970963
7.55,0.047457226,0.010688917,0.0026185427,24.16,0.0011306462,0.076781665,0.046612853
7.6,0.048221111,0.010913653,0.0027008889,24.32,0.0011611228,0.077865039,0.04726394
7.65,0.048997266,0.011141946,0.002785006,24.48,0.001192237,0.078965791,0.047924396
7.7,0.049785888,0.01137384,0.0028709167,24.64,0.0012239988,0.080084236,0.048594392
7.75,0.050587176,0.011609384,0.002958644,24.8,0.0012564183,0.081220694,0.049274107
