t,r,y,ym,yf,feedback,e,u,delta
1.78,0.15,0.12476676,0.10975592,0.12966994,0.12966994,0.020330059,0.043709628,0.058300364
1.8,0.15,0.12390048,0.050222818,0.12678095,0.12678095,0.023219046,0.049920948,0.057630011
1.82,0.15,0.12303468,0.16077331,0.12801704,0.12801704,0.02198296,0.047263364,0.056800679
1.84,0.15,0.12217807,0.030487987,0.12447053,0.12447053,0.025529471,0.054888363,0.056647694
1.86,0.15,0.12133433,0.079500438,0.12283525,0.12283525,0.027164747,0.058404206,0.056788215
1.88,0.15,0.12050524,0.096962672,0.12189443,0.12189443,0.028105568,0.060426972,0.057079315
1.9,0.15,0.11969055,0.11876723,0.12178072,0.12178072,0.028219285,0.060671462,0.057366687
1.92,0.15,0.11889559,0.049711111,0.11916,0.11916,0.030839998,0.066305995,0.058081832
1.94,0.15,0.11812131,0.095412492,0.11829646,0.11829646,0.031703543,0.068162618,0.058888294
1.96,0.15,0.11737021,0.073383544,0.11666326,0.11666326,0.03333674,0.071673991,0.05991115
1.98,0.15,0.11664393,0.079658349,0.11531763,0.11531763,0.034682373,0.074567103,0.061083626
2,0.15,0.11594296,0.090328871,0.11440894,0.11440894,0.035591055,0.076520769,0.062318598
2.02,0.15,0.11527026,0.057727249,0.11234779,0.11234779,0.037652208,0.080952247,0.06380929
2.04,0.15,0.11462713,0.072878289,0.11091254,0.11091254,0.039087463,0.084038044,0.06542759
2.06,0.15,0.11401064,0.12166252,0.11130345,0.11130345,0.038696554,0.083197592,0.06684919
2.08,0.15,0.11341949,0.10498305,0.11107361,0.11107361,0.038926387,0.083691732,0.068196594
2.1,0.15,0.11285157,0.11603142,0.1112539,0.1112539,0.038746103,0.083304122,0.069405196
2.12,0.15,0.11230472,0.11869141,0.11152435,0.11152435,0.038475648,0.082722644,0.070470592
2.14,0.15,0.11178254,0.04988164,0.1092828,0.1092828,0.040717201,0.087541983,0.071836303
2.16,0.15,0.1112819,0.12683221,0.10992096,0.10992096,0.040079041,0.086169938,0.072982994
2.18,0.15,0.11079854,0.14457763,0.1111812,0.1111812,0.038818798,0.083460416,0.073821188
2.2,0.15,0.11033805,0.028385746,0.10817046,0.10817046,0.041829542,0.089933516,0.075110174
2.22,0.15,0.10990003,0.092835268,0.10761281,0.10761281,0.042387185,0.091132449,0.076391956
2.24,0.15,0.10949026,0.016232943,0.10428991,0.10428991,0.04571009,0.098276693,0.078142735
2.26,0.15,0.10910693,0.099733043,0.10412421,0.10412421,0.045875794,0.098632957,0.079781953
2.28,0.15,0.10875046,0.073635942,0.10301554,0.10301554,0.046984458,0.10101659,0.081480723
2.3,0.15,0.10841699,0.12490471,0.10381151,0.10381151,0.046188489,0.09930525,0.082906685
2.32,0.15,0.10811073,0.029781357,0.10111951,0.10111951,0.048880494,0.10509306,0.084681596
2.34,0.15,0.10782574,0.14757519,0.1028088,0.1028088,0.047191196,0.10146107,0.086023954
2.36,0.15,0.10755394,0.1824116,0.10570345,0.10570345,0.044296549,0.095237581,0.086761044
2.38,0.15,0.10729866,0.052819394,0.10378039,0.10378039,0.046219606,0.099372153,0.087769933
2.4,0.15,0.10706304,0.04936402,0.10180162,0.10180162,0.048198383,0.10362652,0.08903846
2.42,0.15,0.10683827,0.19165865,0.10506915,0.10506915,0.044930855,0.096601338,0.08964349
2.44,0.15,0.10663147,0.0074097365,0.10151789,0.10151789,0.048482106,0.10423653,0.090810933
2.46,0.15,0.1064474,0.02460131,0.098720927,0.098720927,0.051279073,0.11025001,0.092366059
2.48,0.15,0.10627506,0.21156292,0.10282427,0.10282427,0.047175727,0.10142781,0.093090999
2.5,0.15,0.1061176,0.052671537,0.10100054,0.10100054,0.048999463,0.10534885,0.094071627
2.52,0.15,0.1059729,0.11226771,0.10141025,0.10141025,0.048589748,0.10446796,0.094903334
2.54,0.15,0.1058321,0.19849368,0.10494056,0.10494056,0.045059441,0.096877799,0.095061291
2.56,0.15,0.10568953,0.17273609,0.10740585,0.10740585,0.042594149,0.091577421,0.094782581
2.58,0.15,0.10554066,0.16719396,0.10957996,0.10957996,0.040420036,0.086903078,0.094152221
2.6,0.15,0.10538411,0.13578508,0.11053288,0.11053288,0.039467123,0.084854314,0.093408389
2.62,0.15,0.10521892,0.13326887,0.11135964,0.11135964,0.03864036,0.083076773,0.092581859
2.64,0.15,0.10505951,-0.055408319,0.10529535,0.10529535,0.044704649,0.096114995,0.09286451
2.66,0.15,0.10490992,0.050674911,0.10330915,0.10330915,0.046690847,0.10038532,0.093466175
2.68,0.15,0.10477227,0.067802675,0.10201801,0.10201801,0.047981991,0.10316128,0.094241784
2.7,0.15,0.10464823,0.069428122,0.10083292,0.10083292,0.049167078,0.10570922,0.095159178
2.72,0.15,0.10454511,-0.0036792306,0.09703248,0.09703248,0.05296752,0.11388017,0.096656858
2.74,0.15,0.10445735,0.14361678,0.098726454,0.098726454,0.051273546,0.11023812,0.097743359
2.76,0.15,0.10437962,0.14821683,0.1005261,0.1005261,0.049473896,0.10636888,0.0984334
2.78,0.15,0.10430854,0.13202292,0.10167144,0.10167144,0.048328557,0.1039064,0.09887124
2.8,0.15,0.10424151,0.12730416,0.10260354,0.10260354,0.047396458,0.10190238,0.099113731
2.82,0.15,0.10418106,0.067486362,0.10132655,0.10132655,0.048673446,0.10464791,0.099556466
2.84,0.15,0.1041256,0.11420312,0.10179479,0.10179479,0.048205208,0.1036412,0.099883244
2.86,0.15,0.10407624,0.083191409,0.10111831,0.10111831,0.048881694,0.10509564,0.10030024
2.88,0.15,0.10404123,-0.0074027097,0.097172087,0.097172087,0.052827913,0.11358001,0.10136262
2.9,0.15,0.10402852,-0.017304329,0.093009308,0.093009308,0.056990692,0.12252999,0.10305601
2.92,0.15,0.10402889,0.18204773,0.096247069,0.096247069,0.053752931,0.1155688,0.10405703
2.94,0.15,0.10404452,0.054257974,0.094720193,0.094720193,0.055279807,0.11885159,0.1052406
2.96,0.15,0.10407791,0.046340037,0.092960914,0.092960914,0.057039086,0.12263403,0.10663207
2.98,0.15,0.1041314,0.043138426,0.091149188,0.091149188,0.058850812,0.12652925,0.10822384
3,0.15,0.10420357,0.085403741,0.090940262,0.090940262,0.059059738,0.12697844,0.10972421
3.02,0.15,0.10429756,0.029637154,0.088711058,0.088711058,0.061288942,0.13177122,0.11148797
3.04,0.15,0.10440959,0.10969635,0.08947416,0.08947416,0.06052584,0.13013056,0.11297938
3.06,0.15,0.10454074,0.053826147,0.088177869,0.088177869,0.061822131,0.13291758,0.11457444
3.08,0.15,0.10468587,0.12875289,0.089653324,0.089653324,0.060346676,0.12974535,0.11578811
3.1,0.15,0.10484664,0.051178827,0.088254251,0.088254251,0.061745749,0.13275336,0.11714533
3.12,0.15,0.10502083,0.095903803,0.088532417,0.088532417,0.061467583,0.1321553,0.11834613
3.14,0.15,0.10520238,0.14598681,0.090621667,0.090621667,0.059378333,0.12766342,0.11909151
3.16,0.15,0.10539595,0.022475141,0.088143612,0.088143612,0.061856388,0.13299123,0.12020349
3.18,0.15,0.10559865,0.10745999,0.088846026,0.088846026,0.061153974,0.13148104,0.12110569
3.2,0.15,0.10580296,0.16931435,0.091772147,0.091772147,0.058227853,0.12518988,0.12143243
3.22,0.15,0.1060098,0.075725575,0.091188635,0.091188635,0.058811365,0.12644444,0.12183339
3.24,0.15,0.1062235,0.032171256,0.089042548,0.089042548,0.060957452,0.13105852,0.1225714
