t,delta,psi,x,y,R,delta_needed
16.56,18,27.803056,64.254877,12.281384,65,27.613028
16.62,18,27.934467,64.466913,12.393815,65,27.613028
16.68,18,28.065878,64.678691,12.506732,65,27.613028
16.74,18,28.197288,64.890209,12.620134,65,27.613028
16.8,18,28.328699,65.101467,12.734021,65,27.613028
16.86,18,28.46011,65.312463,12.848392,65,27.613028
16.92,18,28.591521,65.523196,12.963247,65,27.613028
16.98,18,28.722932,65.733665,13.078585,65,27.613028
17.04,18,28.854342,65.943868,13.194405,65,27.613028
17.1,18,28.985753,66.153806,13.310707,65,27.613028
17.16,18,29.117164,66.363476,13.427491,65,27.613028
17.22,18,29.248575,66.572878,13.544755,65,27.613028
17.28,18,29.379986,66.782011,13.662498,65,27.613028
17.34,18,29.511396,66.990873,13.780722,65,27.613028
17.4,18,29.642807,67.199463,13.899424,65,27.613028
17.46,18,29.774218,67.40778,14.018604,65,27.613028
17.52,18,29.905629,67.615824,14.138261,65,27.613028
17.58,18,30.037039,67.823592,14.258395,65,27.613028
17.64,18,30.16845,68.031085,14.379006,65,27.613028
17.7,18,30.299861,68.2383,14.500092,65,27.613028
17.76,18,30.431272,68.445237,14.621653,65,27.613028
17.82,18,30.562683,68.651894,14.743689,65,27.613028
17.88,18,30.694093,68.858272,14.866198,65,27.613028
17.94,18,30.825504,69.064367,14.98918,65,27.613028
18,18,30.956915,69.27018,15.112634,65,27.613028
18.06,18,31.088326,69.47571,15.23656,65,27.613028
18.12,18,31.219736,69.680954,15.360957,65,27.613028
18.18,18,31.351147,69.885913,15.485825,65,27.613028
18.24,18,31.482558,70.090585,15.611162,65,27.613028
18.3,18,31.613969,70.294969,15.736969,65,27.613028
18.36,18,31.74538,70.499063,15.863244,65,27.613028
18.42,18,31.87679,70.702868,15.989986,65,27.613028
18.48,18,32.008201,70.906381,16.117196,65,27.613028
18.54,18,32.139612,71.109602,16.244872,65,27.613028
18.6,18,32.271023,71.31253,16.373014,65,27.613028
18.66,18,32.402433,71.515163,16.501621,65,27.613028
18.72,18,32.533844,71.717501,16.630693,65,27.613028
