t,x,y,psi_ref,u,delta
19.28,86.76,1.068015,2.9392351,3.7099056,3.7099056
19.36,87.12,1.0866525,2.9883442,3.7690912,3.7690912
19.44,87.48,1.1056017,3.0381967,3.8290706,3.8290706
19.52,87.84,1.1248674,3.088801,3.889849,3.889849
19.6,88.2,1.1444544,3.1401657,3.9514312,3.9514312
19.68,88.56,1.1643675,3.1922993,4.013822,4.013822
19.76,88.92,1.1846116,3.2452101,4.077026,4.077026
19.84,89.28,1.2051916,3.2989067,4.1410475,4.1410475
19.92,89.64,1.2261127,3.3533974,4.2058904,4.2058904
20,90,1.2473799,3.4086908,4.2715587,4.2715587
20.08,90.36,1.2689982,3.464795,4.338056,4.338056
20.16,90.72,1.2909729,3.5217185,4.4053854,4.4053854
20.24,91.08,1.3133092,3.5794695,4.4735499,4.4735499
20.32,91.44,1.3360125,3.6380562,4.5425523,4.5425523
20.4,91.8,1.3590879,3.6974868,4.612395,4.612395
20.48,92.16,1.382541,3.7577693,4.6830798,4.6830798
20.56,92.52,1.4063773,3.8189117,4.7546087,4.7546087
20.64,92.88,1.4306021,3.880922,4.8269828,4.8269828
20.72,93.24,1.4552211,3.9438081,4.9002032,4.9002032
20.8,93.6,1.4802399,4.0075775,4.9742703,4.9742703
20.88,93.96,1.5056641,4.072238,5.0491844,5.0491844
20.96,94.32,1.5314995,4.1377972,5.1249451,5.1249451
21.04,94.68,1.5577518,4.2042623,5.2015518,5.2015518
21.12,95.04,1.5844268,4.2716406,5.2790032,5.2790032
21.2,95.4,1.6115305,4.3399393,5.3572977,5.3572977
21.28,95.76,1.6390686,4.4091654,5.4364331,5.4364331
21.36,96.12,1.6670473,4.4793256,5.5164068,5.5164068
21.44,96.48,1.6954725,4.5504267,5.5972156,5.5972156
21.52,96.84,1.7243502,4.622475,5.6788557,5.6788557
21.6,97.2,1.7536866,4.695477,5.7613227,5.7613227
21.68,97.56,1.7834877,4.7694385,5.8446118,5.8446118
21.76,97.92,1.8137599,4.8443656,5.9287174,5.9287174
21.84,98.28,1.8445093,4.9202639,6.0136333,6.0136333
21.92,98.64,1.8757422,4.9971388,6.0993527,6.0993527
22,99,1.9074649,5.0749955,6.1858683,6.1858683
22.08,99.36,1.9396838,5.153839,6.2731716,6.2731716
22.16,99.72,1.9724052,5.2336738,6.3612539,6.3612539
22.24,100.08,2.0056356,5.3145043,6.4501056,6.4501056
22.32,100.44,2.0393814,5.3963347,6.5397162,6.5397162
22.4,100.8,2.0736492,5.4791688,6.6300745,6.6300745
22.48,101.16,2.1084454,5.5630099,6.7211687,6.7211687
22.56,101.52,2.1437765,5.6478613,6.8129859,6.8129859
22.64,101.88,2.1796492,5.7337258,6.9055124,6.9055124
22.72,102.24,2.2160701,5.8206057,6.9987339,6.9987339
22.8,102.6,2.2530458,5.9085031,7.0926348,7.0926348
22.88,102.96,2.2905829,5.9974198,7.1871989,7.1871989
22.96,103.32,2.3286881,6.0873569,7.282409,7.282409
23.04,103.68,2.367368,6.1783155,7.3782468,7.3782468
23.12,104.04,2.4066294,6.2702958,7.4746933,7.4746933
23.2,104.4,2.4464789,6.363298,7.5717283,7.5717283
23.28,104.76,2.4869234,6.4573215,7.6693306,7.6693306
23.36,105.12,2.5279694,6.5523655,7.767478,7.767478
23.44,105.48,2.5696237,6.6484284,7.8661473,7.8661473
23.52,105.84,2.611893,6.7455085,7.965314,7.965314
23.6,106.2,2.654784,6.8436032,8.0649529,8.0649529
23.68,106.56,2.6983036,6.9427095,8.1650372,8.1650372
23.76,106.92,2.7424582,7.0428241,8.2655395,8.2655395
23.84,107.28,2.7872547,7.1439427,8.3664307,8.3664307
23.92,107.64,2.8326998,7.2460607,8.4676809,8.4676809
24,108,2.8788,7.3491729,8.5692588,8.5692588
24.08,108.36,2.925562,7.4532734,8.6711322,8.6711322
24.16,108.72,2.9729925,7.5583558,8.7732673,8.7732673
24.24,109.08,3.021098,7.6644128,8.8756293,8.8756293
24.32,109.44,3.069885,7.7714367,8.9781821,8.9781821
24.4,109.8,3.1193601,7.8794191,9.0808883,9.0808883
24.48,110.16,3.1695297,7.9883509,9.1837094,9.1837094
24.56,110.52,3.2204002,8.0982221,9.2866053,9.2866053
24.64,110.88,3.271978,8.2090223,9.3895348,9.3895348
24.72,111.24,3.3242695,8.3207401,9.4924556,9.4924556
24.8,111.6,3.3772809,8.4333637,9.5953236,9.5953236
24.88,111.96,3.4310183,8.5468801,9.698094,9.698094
24.96,112.32,3.4854879,8.6612759,9.8007201,9.8007201
25.04,112.68,3.5406958,8.7765368,9.9031542,9.9031542
25.12,113.04,3.5966479,8.8926477,10.005347,10.005347
25.2,113.4,3.6533501,9.0095926,10.107249,10.107249
25.28,113.76,3.7108083,9.1273549,10.208808,10.208808
25.36,114.12,3.7690281,9.2459169,10.30997,10.30997
25.44,114.48,3.8280151,9.3652604,10.410683,10.410683
25.52,114.84,3.8877748,9.4853661,10.510889,10.510889
25.6,115.2,3.9483127,9.6062138,10.610532,10.610532
25.68,115.56,4.009634,9.7277828,10.709554,10.709554
25.76,115.92,4.0717439,9.850051,10.807896,10.807896
25.84,116.28,4.1346474,9.972996,10.905497,10.905497
25.92,116.64,4.1983495,10.096594,11.002295,11.002295
26,117,4.2628548,10.220821,11.098228,11.098228
26.08,117.36,4.3281681,10.345651,11.19323,11.19323
26.16,117.72,4.3942937,10.471058,11.287236,11.287236
26.24,118.08,4.461236,10.597014,11.380181,11.380181
26.32,118.44,4.5289992,10.723493,11.471996,11.471996
26.4,118.8,4.5975872,10.850464,11.562613,11.562613
26.48,119.16,4.6670039,10.977899,11.651962,11.651962
26.56,119.52,4.7372528,11.105765,11.739973,11.739973
26.64,119.88,4.8083375,11.234033,11.826574,11.826574
26.72,120.24,4.8802612,11.362668,11.911693,11.911693
26.8,120.6,4.9530268,11.491638,11.995256,11.995256
26.88,120.96,5.0266374,11.620908,12.077189,12.077189
26.96,121.32,5.1010954,11.750443,12.157418,12.157418
27.04,121.68,5.1764034,11.880207,12.235867,12.235867
27.12,122.04,5.2525635,12.010163,12.31246,12.31246
27.2,122.4,5.3295776,12.140273,12.38712,12.38712
27.28,122.76,5.4074475,12.270498,12.459771,12.459771
27.36,123.12,5.4861747,12.4008,12.530333,12.530333
27.44,123.48,5.5657603,12.531138,12.59873,12.59873
27.52,123.84,5.6462054,12.66147,12.664883,12.664883
27.6,124.2,5.7275106,12.791755,12.728713,12.728713
27.68,124.56,5.8096764,12.921951,12.790141,12.790141
27.76,124.92,5.892703,13.052013,12.84909,12.84909
27.84,125.28,5.9765901,13.181898,12.905479,12.905479
27.92,125.64,6.0613375,13.311561,12.95923,12.95923
28,126,6.1469443,13.440957,13.010265,13.010265
28.08,126.36,6.2334097,13.570039,13.058505,13.058505
28.16,126.72,6.3207322,13.69876,13.103871,13.103871
28.24,127.08,6.4089102,13.827074,13.146287,13.146287
28.32,127.44,6.4979419,13.954933,13.185675,13.185675
28.4,127.8,6.587825,14.082287,13.221958,13.221958
28.48,128.16,6.6785568,14.209088,13.25506,13.25506
28.56,128.52,6.7701345,14.335286,13.284907,13.284907
28.64,128.88,6.8625548,14.460832,13.311423,13.311423
28.72,129.24,6.9558141,14.585675,13.334535,13.334535
28.8,129.6,7.0499085,14.709764,13.354171,13.354171
28.88,129.96,7.1448337,14.833048,13.37026,13.37026
28.96,130.32,7.2405851,14.955476,13.382732,13.382732
29.04,130.68,7.3371576,15.076996,13.391517,13.391517
29.12,131.04,7.4345459,15.197557,13.396549,13.396549
29.2,131.4,7.5327443,15.317105,13.397761,13.397761
29.28,131.76,7.6317467,15.435589,13.395089,13.395089
