w,mag_before,phase_before,mag_after,phase_after
0.03462417825,-0.005203350339,-1.983027096,17.24120546,-82.16128055
0.03558874302,-0.005497113765,-2.038224553,17.00938153,-81.9484106
0.03658017875,-0.005807450987,-2.094955763,16.77793129,-81.73007105
0.03759923403,-0.006135295793,-2.153263114,16.54687443,-81.50614735
0.03864667828,-0.006481634432,-2.213190148,16.3162316,-81.27652477
0.03972330237,-0.006847508547,-2.274781587,16.08602442,-81.04108861
0.04082991918,-0.007234018261,-2.338083365,15.85627557,-80.79972445
0.04196736427,-0.007642325446,-2.403142659,15.62700878,-80.55231838
0.04313649645,-0.008073657156,-2.47000792,15.39824887,-80.29875733
0.04433819846,-0.008529309268,-2.538728905,15.17002184,-80.03892935
0.04557337764,-0.009010650301,-2.60935671,14.94235484,-79.77272394
0.04684296659,-0.009519125463,-2.681943802,14.71527625,-79.50003244
0.04814792392,-0.01005626091,-2.756544054,14.4888157,-79.2207484
0.04948923492,-0.01062366823,-2.833212781,14.26300413,-78.93476801
0.05086791233,-0.01122304918,-2.912006771,14.03787377,-78.64199053
0.0522849971,-0.01185620072,-2.992984323,13.81345822,-78.34231881
0.05374155921,-0.0125250202,-3.076205285,13.58979248,-78.03565978
0.05523869841,-0.01323151097,-3.161731086,13.36691294,-77.721925
0.05677754511,-0.01397778823,-3.249624775,13.14485745,-77.40103125
0.05835926119,-0.01476608514,-3.33995106,12.92366529,-77.07290115
0.05998504092,-0.01559875938,-3.432776344,12.70337725,-76.73746381
0.06165611182,-0.01647829992,-3.528168762,12.48403559,-76.39465553
0.06337373564,-0.01740733429,-3.626198223,12.26568406,-76.04442052
0.06513920924,-0.01838863613,-3.726936446,12.04836794,-75.68671167
0.06695386562,-0.01942513319,-3.830456999,11.83213396,-75.32149131
0.06881907494,-0.02051991572,-3.936835338,11.61703038,-74.94873208
0.07073624549,-0.02167624534,-4.046148847,11.4031069,-74.5684178
0.07270682482,-0.02289756434,-4.158476878,11.19041465,-74.18054429
0.07473230081,-0.0241875055,-4.273900785,10.97900619,-73.78512035
0.07681420276,-0.02554990236,-4.392503968,10.7689354,-73.3821687
0.0789541026,-0.02698880005,-4.514371908,10.56025749,-72.97172689
0.08115361604,-0.02850846671,-4.639592207,10.35302889,-72.55384831
0.08341440381,-0.03011340543,-4.768254622,10.14730716,-72.12860319
0.0857381729,-0.03180836681,-4.900451104,9.943150937,-71.69607954
0.08812667784,-0.03359836218,-5.036275833,9.740619811,-71.25638418
0.09058172205,-0.03548867743,-5.17582525,9.53977419,-70.8096437
0.0931051592,-0.03748488759,-5.319198094,9.340675183,-70.35600542
0.09569889458,-0.03959287203,-5.466495428,9.143384447,-69.89563834
0.09836488657,-0.04181883047,-5.617820676,8.947964018,-69.428734
0.1011051481,-0.04416929973,-5.773279641,8.75447614,-68.95550741
0.1039217482,-0.04665117133,-5.93298054,8.562983062,-68.47619775
0.1068168135,-0.04927170977,-6.097034019,8.373546837,-67.9910692
0.1097925299,-0.05203857186,-6.265553178,8.186229092,-67.50041152
0.1128511442,-0.05495982677,-6.438653583,8.001090793,-67.00454069
0.1159949657,-0.05804397705,-6.616453283,7.818191995,-66.50379933
0.1192263682,-0.06129998062,-6.799072817,7.637591576,-65.99855705
0.1225477916,-0.06473727362,-6.986635216,7.459346963,-65.48921075
0.1259617436,-0.06836579437,-7.179266006,7.283513851,-64.97618466
0.1294708018,-0.0721960082,-7.377093199,7.110145905,-64.45993035
0.1330776159,-0.07623893345,-7.580247281,6.939294465,-63.94092652
0.1367849091,-0.08050616834,-7.788861193,6.771008243,-63.41967864
