t,base,lag,pi,lead,lead_lag
103.7152392,0.9904837232,0.9966118192,1.042157042,0.9998592164,1.016965117
103.9154616,0.9905926455,0.9967002142,1.042316583,0.9998609577,1.01693854
104.1156841,0.9907062945,0.9967966791,1.042471903,0.9998626749,1.01691193
104.3159066,0.9908245037,0.9969009955,1.042622996,0.9998643687,1.016885286
104.516129,0.9909471064,0.9970129433,1.042769857,0.9998660397,1.016858608
104.7163515,0.9910739356,0.9971323009,1.042912483,0.9998676883,1.016831898
104.916574,0.9912048246,0.9972588456,1.043050872,0.9998693152,1.016805154
105.1167964,0.9913396066,0.9973923529,1.043185023,0.9998709209,1.016778377
105.3170189,0.9914781152,0.997532598,1.043314938,0.9998725058,1.016751567
105.5172414,0.9916201841,0.9976793547,1.043440619,0.9998740705,1.016724725
105.7174638,0.9917656479,0.9978323964,1.043562071,0.9998756154,1.016697851
105.9176863,0.9919143414,0.997991496,1.043679298,0.999877141,1.016670945
106.1179088,0.9920661003,0.9981564259,1.043792307,0.9998786477,1.016644007
106.3181313,0.992220761,0.9983269584,1.043901107,0.9998801359,1.016617039
106.5183537,0.9923781608,0.998502866,1.044005707,0.9998816061,1.01659004
106.7185762,0.9925381381,0.9986839209,1.044106118,0.9998830586,1.016563011
106.9187987,0.9927005322,0.998869896,1.044202351,0.9998844937,1.016535952
107.1190211,0.9928651837,0.9990605643,1.04429442,0.9998859119,1.016508865
107.3192436,0.9930319345,0.9992556998,1.044382338,0.9998873134,1.01648175
107.5194661,0.9932006279,0.9994550767,1.044466123,0.9998886987,1.016454608
107.7196885,0.9933711086,0.9996584706,1.04454579,0.999890068,1.016427439
107.919911,0.9935432227,0.9998656577,1.044621358,0.9998914216,1.016400244
108.1201335,0.9937168182,1.000076416,1.044692845,0.9998927598,1.016373024
108.320356,0.9938917446,1.000290523,1.044760271,0.9998940829,1.016345779
108.5205784,0.9940678533,1.000507761,1.044823658,0.9998953912,1.016318511
108.7208009,0.9942449973,1.00072791,1.044883029,0.9998966849,1.016291221
108.9210234,0.9944230319,1.000950755,1.044938405,0.9998979642,1.016263908
109.1212458,0.9946018142,1.00117608,1.044989811,0.9998992294,1.016236575
109.3214683,0.9947812032,1.001403672,1.045037273,0.9999004808,1.016209221
109.5216908,0.9949610602,1.001633321,1.045080817,0.9999017184,1.016181849
109.7219132,0.9951412488,1.001864818,1.045120469,0.9999029426,1.016154458
109.9221357,0.9953216345,1.002097957,1.045156258,0.9999041535,1.01612705
110.1223582,0.9955020854,1.002332533,1.045188212,0.9999053513,1.016099626
110.3225806,0.9956824717,1.002568345,1.045216361,0.9999065362,1.016072187
110.5228031,0.9958626663,1.002805193,1.045240735,0.9999077083,1.016044734
110.7230256,0.9960425442,1.003042882,1.045261366,0.9999088679,1.016017267
110.9232481,0.996221983,1.003281217,1.045278285,0.9999100151,1.015989788
111.1234705,0.9964008631,1.003520008,1.045291526,0.99991115,1.015962298
111.323693,0.996579067,1.003759066,1.045301121,0.9999122727,1.015934798
111.5239155,0.9967564801,1.003998206,1.045307105,0.9999133835,1.015907289
111.7241379,0.9969329905,1.004237247,1.045309513,0.9999144825,1.015879771
111.9243604,0.9971084888,1.004476009,1.04530838,0.9999155697,1.015852247
112.1245829,0.9972828683,1.004714317,1.045303742,0.9999166453,1.015824716
112.3248053,0.997456025,1.004951999,1.045295636,0.9999177094,1.015797181
112.5250278,0.997627858,1.005188884,1.045284099,0.9999187622,1.015769641
112.7252503,0.9977982687,1.005424809,1.04526917,0.9999198037,1.015742099
112.9254727,0.9979671615,1.00565961,1.045250885,0.999920834,1.015714555
113.1256952,0.9981344437,1.005893128,1.045229285,0.9999218533,1.01568701
113.3259177,0.9983000253,1.006125209,1.045204409,0.9999228615,1.015659465
113.5261402,0.9984638192,1.006355702,1.045176297,0.999923859,1.015631922
113.7263626,0.9986257411,1.006584457,1.045144988,0.9999248456,1.01560438
113.9265851,0.9987857097,1.006811331,1.045110525,0.9999258216,1.015576842
114.1268076,0.9989436463,1.007036183,1.045072947,0.9999267869,1.015549309
114.32703,0.9990994753,1.007258877,1.045032296,0.9999277417,1.01552178
114.5272525,0.9992531239,1.00747928,1.044988615,0.9999286861,1.015494258
114.727475,0.9994045222,1.007697263,1.044941946,0.9999296201,1.015466743
114.9276974,0.999553603,1.007912699,1.04489233,0.9999305438,1.015439237
115.1279199,0.9997003023,1.008125469,1.044839812,0.9999314573,1.015411739
115.3281424,0.9998445586,1.008335454,1.044784434,0.9999323606,1.015384252
115.5283648,0.9999863135,1.008542541,1.04472624,0.9999332539,1.015356776
115.7285873,1.000125511,1.008746619,1.044665274,0.9999341372,1.015329312
115.9288098,1.000262099,1.008947584,1.044601578,0.9999350105,1.015301861
116.1290323,1.000396027,1.009145333,1.044535199,0.9999358739,1.015274424
116.3292547,1.000527248,1.009339769,1.044466179,0.9999367276,1.015247001
116.5294772,1.000655717,1.009530797,1.044394564,0.9999375715,1.015219595
116.7296997,1.000781394,1.009718328,1.044320398,0.9999384058,1.015192205
116.9299221,1.000904238,1.009902275,1.044243726,0.9999392304,1.015164832
117.1301446,1.001024213,1.010082556,1.044164593,0.9999400455,1.015137477
117.3303671,1.001141287,1.010259094,1.044083044,0.9999408511,1.015110142
117.5305895,1.001255429,1.010431812,1.043999124,0.9999416473,1.015082826
117.730812,1.001366609,1.010600642,1.043912879,0.9999424341,1.015055531
117.9310345,1.001474803,1.010765517,1.043824353,0.9999432117,1.015028258
118.131257,1.001579988,1.010926373,1.043733592,0.99994398,1.015001007
118.3314794,1.001682143,1.011083152,1.043640642,0.9999447392,1.014973779
118.5317019,1.00178125,1.011235799,1.043545547,0.9999454893,1.014946575
118.7319244,1.001877295,1.011384263,1.043448353,0.9999462303,1.014919395
118.9321468,1.001970263,1.011528495,1.043349106,0.9999469624,1.01489224
119.1323693,1.002060145,1.011668453,1.04324785,0.9999476855,1.014865111
119.3325918,1.002146932,1.011804096,1.043144631,0.9999483998,1.014838009
119.5328142,1.002230619,1.011935388,1.043039494,0.9999491053,1.014810934
119.7330367,1.002311203,1.012062296,1.042932484,0.9999498021,1.014783887
119.9332592,1.002388681,1.01218479,1.042823647,0.9999504903,1.014756869
