t,base,lag,pi,lead,lead_lag
48.66866867,0.4002431638,0.2856548691,0.7722820611,0.6104873875,0.6474028502
48.92892893,0.3998825536,0.2846651309,0.7679089184,0.610927451,0.6472869214
49.18918919,0.399583876,0.2837524897,0.7635242208,0.6113607956,0.6471699084
49.44944945,0.3993460357,0.2829157601,0.7591298036,0.611787428,0.647051712
49.70970971,0.39916789,0.2821536962,0.7547274699,0.6122073592,0.6469322301
49.96996997,0.3990482515,0.2814649948,0.75031899,0.6126206041,0.6468113582
50.23023023,0.3989858904,0.2808482974,0.7459061013,0.6130271816,0.64668899
50.49049049,0.3989795369,0.2803021935,0.741490508,0.6134271147,0.6465650177
50.75075075,0.3990278842,0.2798252232,0.7370738806,0.6138204301,0.6464393325
51.01101101,0.3991295902,0.2794158798,0.7326578561,0.6142071585,0.6463118251
51.27127127,0.3992832803,0.2790726128,0.7282440378,0.6145873341,0.6461823863
51.53153153,0.3994875499,0.2787938305,0.7238339948,0.6149609949,0.6460509069
51.79179179,0.3997409668,0.2785779027,0.7194292619,0.6153281823,0.6459172783
52.05205205,0.4000420731,0.2784231633,0.71503134,0.615688941,0.6457813932
52.31231231,0.4003893882,0.2783279133,0.7106416952,0.6160433192,0.6456431453
52.57257257,0.4007814108,0.2782904232,0.7062617595,0.6163913679,0.64550243
52.83283283,0.4012166209,0.2783089359,0.7018929303,0.6167331415,0.6453591445
53.09309309,0.4016934828,0.2783816688,0.6975365702,0.6170686971,0.6452131882
53.35335335,0.4022104464,0.2785068172,0.6931940077,0.6173980944,0.645064463
53.61361361,0.4027659504,0.2786825561,0.6888665364,0.617721396,0.6449128732
53.87387387,0.4033584233,0.2789070434,0.6845554156,0.6180386668,0.6447583259
54.13413413,0.4039862867,0.2791784216,0.6802618699,0.618349974,0.6446007313
54.39439439,0.4046479564,0.2794948212,0.6759870898,0.618655387,0.6444400027
54.65465465,0.405341845,0.2798543624,0.6717322311,0.6189549774,0.6442760568
54.91491491,0.4060663636,0.2802551577,0.6674984157,0.6192488184,0.6441088136
55.17517518,0.406819924,0.2806953145,0.6632867312,0.6195369852,0.6439381968
55.43543544,0.4076009403,0.2811729369,0.6590982313,0.6198195545,0.6437641337
55.6956957,0.4084078309,0.2816861285,0.6549339358,0.6200966045,0.6435865555
55.95595596,0.4092390202,0.2822329943,0.6507948307,0.6203682147,0.643405397
56.21621622,0.4100929407,0.2828116426,0.6466818689,0.6206344659,0.6432205971
56.47647648,0.4109680342,0.2834201877,0.6425959695,0.6208954398,0.6430320988
56.73673674,0.4118627536,0.2840567516,0.638538019,0.6211512192,0.6428398488
