t,before,after
15.0984975,1.014187678,0.9996698388
15.14524207,1.010950358,0.9992663711
15.19198664,1.007736078,0.9988779308
15.23873122,1.004554144,0.9985052324
15.28547579,1.001413607,0.9981489195
15.33222037,0.9983232331,0.9978095654
15.37896494,0.9952914854,0.9974876729
15.42570952,0.9923265038,0.9971836756
15.47245409,0.9894360854,0.9968979384
15.51919866,0.9866276669,0.9966307588
15.56594324,0.9839083083,0.9963823678
15.61268781,0.9812846786,0.9961529317
15.65943239,0.9787630418,0.9959425533
15.70617696,0.9763492456,0.9957512739
15.75292154,0.9740487104,0.9955790748
15.79966611,0.9718664208,0.9954258793
15.84641068,0.9698069179,0.9952915553
15.89315526,0.9678742931,0.9951759166
15.93989983,0.9660721839,0.9950787258
15.98664441,0.9644037705,0.9949996966
16.03338898,0.9628717744,0.994938496
16.08013356,0.9614784576,0.9948947469
16.12687813,0.9602256244,0.9948680305
16.1736227,0.9591146235,0.9948578894
16.22036728,0.9581463518,0.9948638296
16.26711185,0.9573212597,0.9948853236
16.31385643,0.9566393573,0.9949218129
16.360601,0.9561002223,0.9949727107
16.40734558,0.9557030083,0.9950374047
16.45409015,0.9554464551,0.9951152596
16.50083472,0.9553288996,0.99520562
16.5475793,0.9553482877,0.9953078128
16.59432387,0.9555021873,0.9954211501
16.64106845,0.9557878022,0.9955449315
16.68781302,0.9562019871,0.9956784469
16.7345576,0.9567412627,0.9958209787
16.78130217,0.9574018322,0.9959718045
16.82804674,0.9581795986,0.9961301994
16.87479132,0.9590701817,0.9962954382
16.92153589,0.9600689366,0.9964667976
16.96828047,0.9611709722,0.9966435586
17.01502504,0.9623711704,0.9968250084
17.06176962,0.9636642052,0.9970104423
17.10851419,0.9650445626,0.9971991659
17.15525876,0.9665065604,0.9973904964
17.20200334,0.9680443685,0.9975837649
17.24874791,0.9696520288,0.9977783177
17.29549249,0.9713234753,0.9979735178
17.34223706,0.973052555,0.9981687465
17.38898164,0.9748330469,0.9983634044
17.43572621,0.9766586831,0.9985569131
17.48247078,0.9785231677,0.9987487158
17.52921536,0.9804201966,0.9989382788
17.57595993,0.9823434767,0.9991250919
17.62270451,0.9842867449,0.9993086697
17.66944908,0.9862437859,0.999488552
17.71619366,0.988208451,0.9996643046
17.76293823,0.9901746746,0.9998355195
17.8096828,0.9921364918,1.000001816
17.85642738,0.9940880543,1.00016284
17.90317195,0.9960236462,1.000318264
17.94991653,0.9979376988,1.000467791
17.9966611,0.999824805,1.000611147
18.04340568,1.001679733,1.000748091
18.09015025,1.003497438,1.000878404
18.13689482,1.005273076,1.001001897
18.1836394,1.007002015,1.001118409
18.23038397,1.008679841,1.001227802
18.27712855,1.010302374,1.001329968
18.32387312,1.011865672,1.001424821
18.3706177,1.013366041,1.001512304
18.41736227,1.01480004,1.00159238
18.46410684,1.016164488,1.00166504
18.51085142,1.017456472,1.001730295
18.55759599,1.018673345,1.00178818
18.60434057,1.019812733,1.001838752
18.65108514,1.020872539,1.001882085
18.69782972,1.021850942,1.001918278
18.74457429,1.022746397,1.001947446
18.79131886,1.023557639,1.00196972
18.83806344,1.024283676,1.001985253
18.88480801,1.024923793,1.001994208
18.93155259,1.025477547,1.001996768
18.97829716,1.02594476,1.001993127
19.02504174,1.026325523,1.001983493
19.07178631,1.026620184,1.001968084
19.11853088,1.026829345,1.001947131
19.16527546,1.026953857,1.001920874
19.21202003,1.026994811,1.001889562
19.25876461,1.026953531,1.00185345
19.30550918,1.026831566,1.001812801
19.35225376,1.026630685,1.001767883
19.39899833,1.026352862,1.00171897
19.4457429,1.026000268,1.001666337
19.49248748,1.025575265,1.001610264
19.53923205,1.025080391,1.001551032
19.58597663,1.024518352,1.001488922
19.6327212,1.023892009,1.001424216
19.67946578,1.023204369,1.001357194
19.72621035,1.02245857,1.001288135
19.77295492,1.021657872,1.001217315
19.8196995,1.020805646,1.001145007
19.86644407,1.019905358,1.001071481
19.91318865,1.01896056,1.000996999
19.95993322,1.017974877,1.00092182
20.0066778,1.016951994,1.000846197
20.05342237,1.015895644,1.000770376
20.10016694,1.014809599,1.000694595
20.14691152,1.013697652,1.000619085
20.19365609,1.012563611,1.00054407
20.24040067,1.011411284,1.000469762
20.28714524,1.010244467,1.000396369
20.33388982,1.009066934,1.000324085
20.38063439,1.007882429,1.000253098
20.42737896,1.00669465,1.000183583
20.47412354,1.005507239,1.000115707
20.52086811,1.004323776,1.000049626
20.56761269,1.003147768,0.9999854858
20.61435726,1.001982636,0.9999234218
20.66110184,1.000831711,0.9998635582
20.70784641,0.9996982219,0.9998060089
20.75459098,0.99858529,0.9997508768
20.80133556,0.9974959199,0.9996982544
20.84808013,0.9964329932,0.9996482235
20.89482471,0.9953992615,0.9996008554
20.94156928,0.9943973406,0.9995562109
20.98831386,0.9934297051,0.9995143406
21.03505843,0.992498683,0.9994752849
21.08180301,0.9916064512,0.9994390744
21.12854758,0.9907550321,0.99940573
21.17529215,0.9899462896,0.9993752631
21.22203673,0.9891819263,0.9993476759
21.2687813,0.9884634814,0.9993229617
21.31552588,0.9877923288,0.9993011054
21.36227045,0.9871696757,0.9992820834
21.40901503,0.9865965618,0.9992658642
21.4557596,0.9860738594,0.9992524088
21.50250417,0.9856022732,0.9992416708
21.54924875,0.9851823416,0.9992335972
21.59599332,0.9848144374,0.9992281282
21.6427379,0.9844987699,0.9992251982
21.68948247,0.984235387,0.9992247357
21.73622705,0.9840241781,0.9992266639
21.78297162,0.9838648766,0.9992309013
21.82971619,0.983757064,0.9992373617
21.87646077,0.9837001734,0.9992459549
21.92320534,0.9836934941,0.999256587
21.96994992,0.983736176,0.9992691609
22.01669449,0.9838272346,0.9992835765
22.06343907,0.9839655565,0.9992997313
22.11018364,0.9841499048,0.9993175207
22.15692821,0.9843789251,0.9993368384
22.20367279,0.9846511513,0.9993575768
22.25041736,0.9849650127,0.9993796274
22.29716194,0.9853188396,0.9994028809
22.34390651,0.9857108708,0.9994272281
22.39065109,0.9861392603,0.9994525596
22.43739566,0.9866020841,0.9994787667
22.48414023,0.9870973478,0.9995057412
22.53088481,0.9876229933,0.9995333763
22.57762938,0.9881769067,0.9995615663
22.62437396,0.9887569252,0.9995902072
22.67111853,0.9893608447,0.9996191969
22.71786311,0.9899864271,0.9996484356
22.76460768,0.9906314077,0.9996778258
22.81135225,0.9912935025,0.9997072725
22.85809683,0.9919704152,0.9997366838
22.9048414,0.992659845,0.9997659706
22.95158598,0.9933594926,0.9997950471
22.99833055,0.9940670681,0.9998238308
23.04507513,0.9947802972,0.9998522428
23.0918197,0.995496928,0.9998802078
23.13856427,0.9962147373,0.9999076543
23.18530885,0.996931537,0.9999345144
23.23205342,0.9976451797,0.9999607246
23.278798,0.998353565,0.999986225
23.32554257,0.9990546447,1.00001096
23.37228715,0.9997464282,1.000034878
23.41903172,1.000426987,1.000057931
23.46577629,1.001094462,1.000080077
23.51252087,1.001747062,1.000101276
23.55926544,1.002383075,1.000121493
23.60601002,1.003000868,1.000140698
23.65275459,1.003598891,1.000158863
23.69949917,1.00417568,1.000175965
23.74624374,1.004729862,1.000191987
23.79298831,1.005260154,1.000206913
23.83973289,1.00576537,1.000220732
23.88647746,1.006244418,1.000233437
23.93322204,1.006696305,1.000245024
23.97996661,1.007120137,1.000255492
24.02671119,1.007515121,1.000264847
24.07345576,1.007880563,1.000273093
24.12020033,1.008215872,1.000280241
24.16694491,1.008520558,1.000286304
24.21368948,1.008794231,1.000291297
24.26043406,1.009036602,1.000295239
24.30717863,1.009247482,1.000298152
24.35392321,1.009426779,1.000300059
24.40066778,1.009574501,1.000300985
24.44741235,1.009690747,1.00030096
