w,base,lag,pi,lead,lead_lag
0.009029922183,-95.40111085,-120.4462924,-141.4752358,-91.03641734,-107.3223718
0.00919160043,-95.49730413,-120.4721118,-141.0632494,-91.05553959,-107.271309
0.009356173482,-95.59519191,-120.4931265,-140.6527793,-91.07503462,-107.2166894
0.009523693169,-95.69480303,-120.5094569,-140.2440144,-91.09491072,-107.1586263
0.009694212248,-95.79616676,-120.521231,-139.8371441,-91.11517642,-107.0972371
0.009867784425,-95.89931282,-120.5285842,-139.4323579,-91.13584047,-107.0326433
0.01004446436,-96.00427136,-120.5316588,-139.0298452,-91.15691188,-106.96497
0.01022430771,-96.11107298,-120.5306038,-138.6297954,-91.17839994,-106.8943454
0.0104073711,-96.21974872,-120.5255749,-138.2323972,-91.20031417,-106.8209009
0.01059371218,-96.3303301,-120.5167338,-137.8378384,-91.22266439,-106.7447704
0.01078338966,-96.44284906,-120.504248,-137.4463062,-91.24546071,-106.6660906
0.01097646325,-96.55733802,-120.4882908,-137.0579862,-91.26871354,-106.5849997
0.01117299378,-96.67382985,-120.4690405,-136.6730626,-91.29243358,-106.5016383
0.01137304313,-96.79235787,-120.4466803,-136.2917182,-91.31663186,-106.4161482
0.0115766743,-96.91295589,-120.421398,-135.9141336,-91.34131977,-106.3286723
0.01178395144,-97.03565817,-120.3933855,-135.5404875,-91.366509,-106.2393549
0.01199493981,-97.16049942,-120.3628385,-135.1709563,-91.39221164,-106.1483405
0.01220970588,-97.28751484,-120.3299563,-134.8057139,-91.41844013,-106.0557745
0.01242831727,-97.41674007,-120.2949411,-134.4449316,-91.4452073,-105.961802
0.01265084284,-97.54821124,-120.2579981,-134.088778,-91.47252639,-105.8665685
0.01287735266,-97.68196494,-120.2193346,-133.7374185,-91.50041103,-105.770219
0.01310791808,-97.8180382,-120.1791601,-133.3910157,-91.52887532,-105.6728979
0.01334261172,-97.95646854,-120.1376859,-133.0497287,-91.55793378,-105.5747491
0.01358150747,-98.09729392,-120.0951244,-132.7137136,-91.5876014,-105.4759157
0.01382468059,-98.24055278,-120.051689,-132.3831228,-91.61789367,-105.3765394
0.01407220765,-98.386284,-120.0075939,-132.0581052,-91.64882656,-105.2767609
0.01432416662,-98.53452691,-119.9630536,-131.7388062,-91.68041658,-105.1767197
0.01458063684,-98.68532129,-119.9182824,-131.4253672,-91.71268076,-105.0765535
0.0148416991,-98.83870736,-119.8734947,-131.1179261,-91.74563669,-104.9763986
0.01510743559,-98.99472578,-119.8289038,-130.816617,-91.77930257,-104.8763894
0.01537793003,-99.15341762,-119.7847224,-130.5215701,-91.81369718,-104.7766586
0.01565326759,-99.31482441,-119.7411621,-130.2329114,-91.84883993,-104.6773371
0.015933535,-99.47898806,-119.6984328,-129.9507635,-91.88475088,-104.5785537
0.01621882052,-99.64595089,-119.6567428,-129.6752447,-91.92145076,-104.4804351
0.01650921399,-99.81575563,-119.6162986,-129.4064695,-91.95896102,-104.3831063
0.01680480688,-99.98844538,-119.5773042,-129.1445486,-91.9973038,-104.2866899
0.01710569228,-100.1640636,-119.5399616,-128.8895885,-92.03650202,-104.1913065
0.01741196495,-100.3426542,-119.5044701,-128.641692,-92.07657937,-104.0970746
0.01772372134,-100.5242613,-119.4710259,-128.4009581,-92.11756034,-104.0041108
0.01804105965,-100.7089293,-119.4398227,-128.1674819,-92.15947027,-103.9125293
0.01836407981,-100.8967033,-119.4110508,-127.9413546,-92.20233536,-103.8224425
0.01869288355,-101.0876282,-119.3848973,-127.7226639,-92.2461827,-103.7339607
0.01902757444,-101.2817495,-119.3615459,-127.5114936,-92.29104033,-103.6471923
0.01936825787,-101.4791127,-119.3411768,-127.307924,-92.33693722,-103.5622438
0.01971504115,-101.679764,-119.3239666,-127.1120319,-92.38390337,-103.4792198
0.02006803348,-101.8837492,-119.310088,-126.9238903,-92.43196977,-103.398223
0.02042734605,-102.0911147,-119.2997101,-126.7435691,-92.48116852,-103.3193547
0.020793092,-102.301907,-119.2929978,-126.5711345,-92.53153277,-103.2427144
0.02116538654,-102.5161726,-119.2901122,-126.4066498,-92.58309685,-103.1684
0.0215443469,-102.7339583,-119.2912105,-126.2501746,-92.63589623,-103.0965082
0.02193009245,-102.9553108,-119.2964456,-126.1017657,-92.68996759,-103.0271341
0.02232274466,-103.1802768,-119.3059663,-125.9614765,-92.74534889,-102.9603718
0.0227224272,-103.4089033,-119.3199174,-125.8293578,-92.80207934,-102.896314
0.02312926594,-103.6412369,-119.3384395,-125.7054569,-92.86019948,-102.8350526
0.02354338902,-103.8773243,-119.3616688,-125.5898187,-92.91975124,-102.7766785
0.02396492686,-104.1172122,-119.3897377,-125.4824849,-92.98077792,-102.7212817
0.02439401222,-104.3609469,-119.422774,-125.3834946,-93.04332429,-102.6689516
0.02483078023,-104.6085747,-119.4609016,-125.2928843,-93.10743658,-102.6197771
0.02527536845,-104.8601414,-119.50424,-125.2106877,-93.17316255,-102.5738464
0.0257279169,-105.1156929,-119.5529047,-125.136936,-93.24055153,-102.5312475
0.0261885681,-105.3752743,-119.607007,-125.0716578,-93.30965443,-102.4920681
0.02665746714,-105.6389306,-119.6666538,-125.0148792,-93.38052381,-102.4563958
0.02713476168,-105.9067063,-119.7319483,-124.966624,-93.45321392,-102.4243181
0.02762060205,-106.1786451,-119.8029893,-124.9269134,-93.5277807,-102.3959227
0.02811514125,-106.4547904,-119.8798716,-124.8957664,-93.60428183,-102.3712973
0.02861853504,-106.735185,-119.9626859,-124.8731996,-93.68277682,-102.3505301
0.02913094196,-107.0198706,-120.0515188,-124.8592273,-93.76332694,-102.3337095
0.02965252338,-107.3088885,-120.1464531,-124.8538615,-93.84599534,-102.3209244
0.03018344357,-107.6022789,-120.2475673,-124.857112,-93.93084705,-102.3122645
0.03072386974,-107.9000812,-120.3549362,-124.8689863,-94.01794899,-102.3078197
0.03127397209,-108.2023337,-120.4686304,-124.8894895,-94.10737002,-102.307681
0.03183392388,-108.5090736,-120.5887168,-124.9186248,-94.19918094,-102.3119401
0.03240390144,-108.820337,-120.715258,-124.9563929,-94.29345454,-102.3206895
0.03298408429,-109.1361586,-120.8483131,-125.0027923,-94.39026558,-102.3340226
0.03357465515,-109.456572,-120.987937,-125.0578192,-94.48969084,-102.3520339
0.03417580002,-109.7816091,-121.1341808,-125.1214677,-94.59180909,-102.3748189
0.03478770823,-110.1113003,-121.2870916,-125.1937294,-94.69670112,-102.4024741
0.03541057248,-110.4456745,-121.4467128,-125.2745937,-94.80444973,-102.435097
0.03604458894,-110.7847588,-121.6130838,-125.3640475,-94.91513975,-102.4727864
0.03668995729,-111.1285785,-121.7862399,-125.4620754,-95.02885798,-102.5156421
0.03734688078,-111.477157,-121.9662128,-125.5686596,-95.14569322,-102.5637649
0.0380155663,-111.8305156,-122.1530301,-125.6837798,-95.26573621,-102.617257
0.03869622445,-112.1886736,-122.3467155,-125.8074132,-95.38907965,-102.6762213
0.0393890696,-112.551648,-122.5472886,-125.9395343,-95.51581813,-102.7407621
0.04009431994,-112.9194534,-122.7547653,-126.0801151,-95.64604808,-102.8109845
0.0408121976,-113.2921022,-122.9691572,-126.2291249,-95.77986775,-102.8869945
0.04154292866,-113.6696039,-123.190472,-126.3865302,-95.91737716,-102.9688991
0.04228674325,-114.0519658,-123.4187135,-126.5522947,-96.05867798,-103.0568061
0.04304387564,-114.439192,-123.653881,-126.7263795,-96.20387353,-103.1508239
0.04381456428,-114.8312841,-123.8959701,-126.9087422,-96.35306865,-103.2510615
0.04459905187,-115.2282405,-124.1449721,-127.099338,-96.50636964,-103.3576286
0.04539758551,-115.6300568,-124.4008739,-127.2981186,-96.66388413,-103.4706351
0.04621041666,-116.0367251,-124.6636586,-127.5050329,-96.82572101,-103.5901909
0.04703780133,-116.4482344,-124.9333047,-127.7200263,-96.9919903,-103.7164063
0.04788000009,-116.8645705,-125.2097864,-127.9430411,-97.16280302,-103.8493914
0.04873727819,-117.2857156,-125.4930739,-128.1740162,-97.33827105,-103.9892558
0.04960990561,-117.7116483,-125.7831327,-128.4128872,-97.51850704,-104.1361088
0.05049815719,-118.1423437,-126.0799242,-128.6595862,-97.70362416,-104.2900591
0.05140231266,-118.5777731,-126.383405,-128.9140418,-97.89373606,-104.4512143
0.05232265679,-119.017904,-126.6935277,-129.1761789,-98.0889566,-104.6196809
0.05325947942,-119.4627002,-127.01024,-129.445919,-98.28939972,-104.7955642
0.0542130756,-119.9121215,-127.3334856,-129.7231797,-98.49517927,-104.9789677
0.05518374565,-120.3661235,-127.6632032,-130.0078752,-98.70640877,-105.169993
0.05617179529,-120.8246582,-127.9993274,-130.2999156,-98.92320127,-105.3687399
0.05717753567,-121.2876732,-128.3417881,-130.5992074,-99.14566907,-105.5753054
0.05820128356,-121.7551121,-128.6905106,-130.9056534,-99.37392358,-105.7897841
0.05924336137,-122.2269142,-129.0454159,-131.2191525,-99.60807506,-106.0122676
0.0603040973,-122.7030149,-129.4064203,-131.5395998,-99.8482324,-106.2428441
0.0613838254,-123.1833452,-129.773436,-131.8668864,-100.0945029,-106.4815985
0.06248288574,-123.6678322,-130.1463703,-132.2009,-100.346992,-106.7286117
0.06360162445,-124.1563984,-130.5251265,-132.5415241,-100.6058032,-106.9839605
0.06474039386,-124.6489627,-130.9096033,-132.8886386,-100.8710375,-107.2477175
0.06589955262,-125.1454393,-131.2996954,-133.2421199,-101.1427936,-107.5199504
0.0670794658,-125.6457389,-131.6952928,-133.6018403,-101.4211672,-107.800722
0.068280505,-126.1497678,-132.096282,-133.9676688,-101.7062511,-108.0900897
0.06950304847,-126.6574284,-132.5025449,-134.3394708,-101.9981349,-108.3881057
0.07074748124,-127.1686194,-132.9139599,-134.7171083,-102.2969047,-108.6948161
0.07201419523,-127.6832356,-133.3304012,-135.1004396,-102.6026428,-109.0102609
0.07330358939,-128.2011682,-133.7517394,-135.4893203,-102.9154276,-109.3344742
0.07461606979,-128.7223045,-134.1778417,-135.8836024,-103.2353334,-109.6674831
0.07595204978,-129.2465289,-134.6085717,-136.283135,-103.5624301,-110.0093081
0.07731195013,-129.7737221,-135.0437896,-136.6877644,-103.8967829,-110.3599628
0.07869619912,-130.3037617,-135.4833528,-137.0973342,-104.2384524,-110.7194535
0.08010523269,-130.8365224,-135.9271154,-137.5116853,-104.5874942,-111.0877791
0.08153949463,-131.371876,-136.3749291,-137.9306564,-104.9439586,-111.4649311
0.08299943662,-131.9096918,-136.8266426,-138.3540837,-105.3078908,-111.8508934
