t,r,y,ym,yf,feedback,e,u,delta
1.74,0.15,0.10432186,0.13466257,0.10237949,0.13466257,0.015337426,0.032975467,0.064280139
1.76,0.15,0.10376015,0.14040018,0.10376206,0.14040018,0.0095998192,0.020639611,0.060788897
1.78,0.15,0.10329532,0.081336293,0.10294657,0.081336293,0.068663707,0.14762697,0.067735943
1.8,0.15,0.10313993,-0.01822938,0.098540177,-0.01822938,0.16822938,0.36169317,0.091252521
1.82,0.15,0.10320695,0.0082426123,0.095256629,0.0082426123,0.14175739,0.30477838,0.10833459
1.84,0.15,0.10330569,0.084934122,0.094881265,0.084934122,0.065065878,0.13989164,0.11085915
1.86,0.15,0.10343582,0.08371802,0.094475329,0.08371802,0.06628198,0.14250626,0.11339092
1.88,0.15,0.10352564,0.11467064,0.095209704,0.11467064,0.035329362,0.075958129,0.1103963
1.9,0.15,0.10348004,0.15914216,0.09753452,0.15914216,-0.0091421603,-0.019655645,0.099992143
1.92,0.15,0.10343394,0.10398493,0.097769081,0.10398493,0.046015067,0.098932394,0.099907363
1.94,0.15,0.1034473,0.077011228,0.09701425,0.077011228,0.072988772,0.15692586,0.10446884
1.96,0.15,0.10360792,0.034973957,0.094758239,0.034973957,0.11502604,0.24730599,0.11589581
1.98,0.15,0.10383075,0.067133167,0.093753691,0.067133167,0.082866833,0.17816369,0.12087724
2,0.15,0.10406307,0.088206546,0.093551977,0.088206546,0.061793454,0.13285593,0.12183554
2.02,0.15,0.10440139,0.044220859,0.091758118,0.044220859,0.10577914,0.22742515,0.13028271
2.04,0.15,0.10469725,0.10656866,0.092296683,0.10656866,0.043431341,0.093377383,0.12733028
2.06,0.15,0.10502532,0.074539698,0.091650974,0.074539698,0.075460302,0.16223965,0.13012303
2.08,0.15,0.10531932,0.10292483,0.092060933,0.10292483,0.047075169,0.10121161,0.12781012
2.1,0.15,0.10529915,0.23040076,0.097091472,0.23040076,-0.080400759,-0.17286163,0.10375638
2.12,0.15,0.10493356,0.25750317,0.10292462,0.25750317,-0.10750317,-0.23113182,0.076965322
2.14,0.15,0.10445942,0.16523265,0.10519037,0.16523265,-0.015232651,-0.032750199,0.06818808
2.16,0.15,0.10414682,0.048255722,0.10312002,0.048255722,0.10174428,0.2187502,0.08023305
2.18,0.15,0.10399494,0.042083505,0.10090051,0.042083505,0.1079165,0.23202046,0.092376043
2.2,0.15,0.10391303,0.076390822,0.10000925,0.076390822,0.073609178,0.15825973,0.097646738
2.22,0.15,0.10390653,0.071080378,0.09895729,0.071080378,0.078919622,0.16967719,0.10340917
2.24,0.15,0.10390169,0.10118919,0.09903845,0.10118919,0.048810806,0.10494323,0.1035319
2.26,0.15,0.10393881,0.082969501,0.098454125,0.082969501,0.067030499,0.14411557,0.10677859
2.28,0.15,0.10392603,0.12260825,0.099332457,0.12260825,0.027391748,0.058892258,0.10294769
2.3,0.15,0.10399626,0.064782672,0.098076101,0.064782672,0.085217328,0.18321725,0.10936925
2.32,0.15,0.10380047,0.21858687,0.10245831,0.21858687,-0.068586865,-0.14746176,0.088822771
2.34,0.15,0.10362853,0.099082167,0.10233554,0.099082167,0.050917833,0.10947334,0.090474816
2.36,0.15,0.10374372,-0.020458212,0.097870314,-0.020458212,0.17045821,0.36648516,0.11255564
2.38,0.15,0.10376975,0.13715081,0.099298696,0.13715081,0.012849188,0.027625754,0.10576125
2.4,0.15,0.10398504,0.01538288,0.096247212,0.01538288,0.13461712,0.28942681,0.1204545
2.42,0.15,0.10424489,0.072643624,0.0953889,0.072643624,0.077356376,0.16631621,0.12412343
2.44,0.15,0.10460102,0.047373533,0.093642886,0.047373533,0.10262647,0.2206469,0.13184531
2.46,0.15,0.10501629,0.059960856,0.092418085,0.059960856,0.090039144,0.19358416,0.13678442
2.48,0.15,0.10540788,0.094633909,0.092498661,0.094633909,0.055366091,0.1190371,0.13536463
2.5,0.15,0.10590672,0.036439854,0.090460159,0.036439854,0.11356015,0.24415431,0.14406781
2.52,0.15,0.10634461,0.10755361,0.091081739,0.10755361,0.042446386,0.091259729,0.13984316
2.54,0.15,0.10657216,0.17718857,0.094212896,0.17718857,-0.027188566,-0.058455418,0.12397928
2.56,0.15,0.10677906,0.10031032,0.094434621,0.10031032,0.049689683,0.10683282,0.12260756
2.58,0.15,0.10696743,0.10012381,0.0946415,0.10012381,0.049876189,0.10723381,0.12137766
2.6,0.15,0.10707257,0.12995339,0.095925569,0.12995339,0.020046606,0.043100203,0.11511546
2.62,0.15,0.10717507,0.097035346,0.095965925,0.097035346,0.052964654,0.11387401,0.11501615
2.64,0.15,0.10741838,0.032458438,0.093656561,0.032458438,0.11754156,0.25271436,0.126032
2.66,0.15,0.10774926,0.050511162,0.092087638,0.050511162,0.099488838,0.213901,0.13306152
2.68,0.15,0.10785212,0.18892793,0.095609103,0.18892793,-0.03892793,-0.083695049,0.115721
2.7,0.15,0.10794613,0.099567827,0.095753057,0.099567827,0.050432173,0.10842917,0.11513765
2.72,0.15,0.10814065,0.050609521,0.094111473,0.050609521,0.099390479,0.21368953,0.1230218
2.74,0.15,0.1083424,0.088396026,0.093903639,0.088396026,0.061603974,0.13244854,0.12377594
2.76,0.15,0.10865285,0.042277591,0.092026328,0.042277591,0.10772241,0.23160318,0.13240212
2.78,0.15,0.10903039,0.056381447,0.090730151,0.056381447,0.093618553,0.20127989,0.13791234
2.8,0.15,0.10934993,0.10979533,0.09142343,0.10979533,0.040204668,0.086440037,0.13379456
2.82,0.15,0.10991099,-0.022916203,0.087265625,-0.022916203,0.1729162,0.37176984,0.15283258
2.84,0.15,0.11043525,0.09223832,0.08744645,0.09223832,0.05776168,0.12418761,0.15054098
2.86,0.15,0.1110697,0.027282044,0.085258654,0.027282044,0.12271796,0.26384361,0.15960519
2.88,0.15,0.11160771,0.11553149,0.086359484,0.11553149,0.034468511,0.074107298,0.15276536
2.9,0.15,0.11217719,0.061638634,0.085460544,0.061638634,0.088361366,0.18997694,0.15574229
2.92,0.15,0.11268844,0.10048588,0.08600692,0.10048588,0.049514116,0.10645535,0.15179933
2.94,0.15,0.11314812,0.099661084,0.086503435,0.099661084,0.050338916,0.10822867,0.14831368
2.96,0.15,0.11346905,0.14086399,0.088480183,0.14086399,0.0091360124,0.019642427,0.13801998
2.98,0.15,0.11378325,0.086971732,0.08842533,0.086971732,0.063028268,0.13551078,0.13781924
3,0.15,0.11430905,-0.01127325,0.084799927,-0.01127325,0.16127325,0.34673749,0.1545327
3.02,0.15,0.11455821,0.19971503,0.088978658,0.19971503,-0.049715032,-0.10688732,0.1336191
3.04,0.15,0.11458785,0.18531402,0.092481762,0.18531402,-0.035314021,-0.075925145,0.11685556
3.06,0.15,0.1142894,0.24331073,0.097966452,0.24331073,-0.093310732,-0.20061807,0.09145767
3.08,0.15,0.11388784,0.15565224,0.10006412,0.15565224,-0.0056522404,-0.012152317,0.083168871
3.1,0.15,0.11361777,0.054405957,0.09840382,0.054405957,0.095594043,0.20552719,0.092957537
3.12,0.15,0.11344405,0.064922562,0.09718632,0.064922562,0.085077438,0.18291649,0.10015425
3.14,0.15,0.11349165,0.0047016947,0.093823243,0.0047016947,0.14529831,0.31239136,0.11713322
3.16,0.15,0.11364881,0.045878408,0.092079794,0.045878408,0.10412159,0.22386142,0.12567148
3.18,0.15,0.11383514,0.077490078,0.091549259,0.077490078,0.072509922,0.15589633,0.12808947
3.2,0.15,0.11417581,0.019798782,0.088940151,0.019798782,0.13020122,0.27993262,0.14023692
3.22,0.15,0.1145316,0.075981505,0.088468927,0.075981505,0.074018495,0.15913976,0.14174915
3.24,0.15,0.11482975,0.10796937,0.089178034,0.10796937,0.042030629,0.090365853,0.13763848
3.26,0.15,0.11489444,0.18944165,0.092823984,0.18944165,-0.03944165,-0.084799547,0.11984344
3.28,0.15,0.11487187,0.13320045,0.094292219,0.13320045,0.016799549,0.03611903,0.11314549
3.3,0.15,0.11493346,0.059587088,0.093030214,0.059587088,0.090412912,0.19438776,0.11964487
3.32,0.15,0.1150242,0.080859826,0.092587655,0.080859826,0.069140174,0.14865137,0.12196539
3.34,0.15,0.11503271,0.12978979,0.09394046,0.12978979,0.020210207,0.043451944,0.11568431
3.36,0.15,0.11503653,0.098261061,0.094097573,0.098261061,0.051738939,0.11123872,0.11532867
3.38,0.15,0.11515124,0.04637282,0.092362127,0.04637282,0.10362718,0.22279844,0.12392625
3.4,0.15,0.11535048,0.053603396,0.090952719,0.053603396,0.096396604,0.2072527,0.13059236
3.42,0.15,0.11559683,0.066872099,0.09007706,0.066872099,0.083127901,0.17872499,0.13444297
3.44,0.15,0.11522307,0.36544992,0.10009062,0.36544992,-0.21544992,-0.46321733,0.086630149
3.46,0.15,0.11464572,0.2036107,0.10385498,0.2036107,-0.053610697,-0.115263,0.070478697
3.48,0.15,0.11411666,0.098819233,0.10367187,0.098819233,0.051180767,0.11003865,0.073643494
3.5,0.15,0.11342624,0.19152872,0.10686666,0.19152872,-0.041528722,-0.089286753,0.060609074
3.52,0.15,0.11274801,0.12032971,0.10735623,0.12032971,0.029670293,0.063791131,0.060863638
3.54,0.15,0.11211354,0.10592039,0.10730401,0.10592039,0.044079612,0.094771167,0.063576241
3.56,0.15,0.11156241,0.086564868,0.10654986,0.086564868,0.063435132,0.13638553,0.069400984
3.58,0.15,0.11099598,0.12781909,0.10732329,0.12781909,0.022180913,0.047688963,0.067664023
3.6,0.15,0.11060047,0.044807206,0.10504998,0.044807206,0.10519279,0.22616451,0.080344061
3.62,0.15,0.1102783,0.081885936,0.10420765,0.081885936,0.068114064,0.14644524,0.085632155
3.64,0.15,0.10984317,0.16294158,0.10634343,0.16294158,-0.012941577,-0.027824391,0.076555632
3.66,0.15,0.10953968,0.057605932,0.10457116,0.057605932,0.092394068,0.19864725,0.086322961
3.68,0.15,0.10916402,0.14413331,0.10600978,0.14413331,0.005866695,0.012613394,0.080426196
3.7,0.15,0.10870719,0.15135338,0.10765864,0.15135338,-0.0013533778,-0.0029097623,0.073759319
3.72,0.15,0.10833377,0.080763191,0.10668062,0.080763191,0.069236809,0.14885914,0.079767304
3.74,0.15,0.10813585,0.035996101,0.10411027,0.035996101,0.1140039,0.24510838,0.092994591
3.76,0.15,0.10791846,0.11666573,0.10456684,0.11666573,0.033334267,0.071668675,0.091288517
3.78,0.15,0.10763094,0.14040496,0.10587004,0.14040496,0.0095950367,0.020629329,0.085635782
3.8,0.15,0.10743308,0.071443425,0.10461816,0.071443425,0.078556575,0.16889664,0.092296651
3.82,0.15,0.10736422,0.050095745,0.10263553,0.050095745,0.099904255,0.21479415,0.10209645
3.84,0.15,0.10729933,0.10112575,0.10258063,0.10112575,0.048874253,0.10507964,0.10233511
3.86,0.15,0.10714689,0.1422266,0.1040223,0.1422266,0.0077734015,0.016712813,0.095485323
3.88,0.15,0.10692855,0.13616823,0.10519124,0.13616823,0.013831774,0.029738315,0.090225562
3.9,0.15,0.10673988,0.095936093,0.10485469,0.095936093,0.054063907,0.1162374,0.092306509
3.92,0.15,0.10642052,0.16704852,0.10711629,0.16704852,-0.017048521,-0.036654321,0.081989643
3.94,0.15,0.10590284,0.20308276,0.11060598,0.20308276,-0.053082759,-0.11412793,0.066300236
3.96,0.15,0.10560259,0.024203517,0.10746407,0.024203517,0.12579648,0.27046244,0.082633213
3.98,0.15,0.10530723,0.1111074,0.10759655,0.1111074,0.038892599,0.083619087,0.082712083
4,0.72,0.10644934,0.035545958,0.10497653,0.035545958,0.68445404,1.4715762,0.19382121
4.02,0.72,0.10887623,0.044316593,0.10277072,0.044316593,0.67568341,1.4527193,0.29453306
4.04,0.72,0.11227115,0.13271841,0.10385972,0.13271841,0.58728159,1.2626554,0.37198285
4.06,0.72,0.11649126,0.15543309,0.10573512,0.15543309,0.56456691,1.2138189,0.43932973
4.08,0.72,0.1213299,0.21242917,0.1096149,0.21242917,0.50757083,1.0912773,0.49148553
4.1,0.72,0.12687977,0.14280063,0.11082166,0.14280063,0.57719937,1.2409787,0.55144498
4.12,0.72,0.13294206,0.20036205,0.11407767,0.20036205,0.51963795,1.1172216,0.59670711
4.14,0.72,0.13939899,0.2293975,0.11827112,0.2293975,0.4906025,1.0547954,0.63335417
4.16,0.72,0.14636344,0.15919952,0.11975942,0.15919952,0.56080048,1.205721,0.67914352
4.18,0.72,0.15376073,0.16859241,0.12153517,0.16859241,0.55140759,1.1855263,0.71965414
4.2,0.72,0.16149095,0.19226604,0.1241072,0.19226604,0.52773396,1.134628,0.75285205
4.22,0.72,0.16967843,0.11885498,0.12391621,0.11885498,0.60114502,1.2924618,0.79602083
4.24,0.72,0.17823367,0.13645121,0.12437203,0.13645121,0.58354879,1.2546299,0.83270956
4.26,0.72,0.18702232,0.17778082,0.12631417,0.17778082,0.54221918,1.1657712,0.85935449
4.28,0.72,0.19602376,0.1733297,0.12802382,0.1733297,0.5466703,1.1753411,0.88463342
4.3,0.72,0.20536647,0.10243452,0.1270933,0.10243452,0.61756548,1.3277658,0.92008401
4.32,0.72,0.21491943,0.14300401,0.12767187,0.14300401,0.57699599,1.2405414,0.9457206
4.34,0.72,0.22435289,0.27843167,0.13315405,0.27843167,0.44156833,0.94937192,0.94601271
4.36,0.72,0.23381533,0.21209,0.13602445,0.21209,0.50791,1.0920065,0.95769221
4.38,0.72,0.24320193,0.25372024,0.14030429,0.25372024,0.46627976,1.0025015,0.96127695
4.4,0.72,0.25244694,0.28212017,0.14546123,0.28212017,0.43787983,0.94144164,0.95969013
4.42,0.72,0.26171381,0.21003343,0.14780931,0.21003343,0.50996657,1.0964281,0.97062917
4.44,0.72,0.2708395,0.2782772,0.1525536,0.2782772,0.4417228,0.94970403,0.96895516
4.46,0.72,0.27977361,0.30259169,0.15800953,0.30259169,0.41740831,0.89742787,0.96323297
4.48,0.72,0.28845204,0.33524766,0.16445455,0.33524766,0.38475234,0.82721753,0.95235174
4.5,0.72,0.29726313,0.16681584,0.16454042,0.16681584,0.55318416,1.1893459,0.97131128
4.52,0.72,0.30596195,0.2675838,0.16828745,0.2675838,0.4524162,0.97269484,0.97142196
4.54,0.72,0.31452337,0.27951449,0.17233207,0.27951449,0.44048551,0.94704384,0.96947171
4.56,0.72,0.32282529,0.33623172,0.17829206,0.33623172,0.38376828,0.82510181,0.95792212
4.58,0.72,0.33094443,0.30854337,0.18302847,0.30854337,0.41145663,0.88463175,0.95205889
4.6,0.72,0.3385547,0.45926535,0.19307345,0.45926535,0.26073465,0.5605795,0.92074054
4.62,0.72,0.34614625,0.25594142,0.19535955,0.25594142,0.46405858,0.99772594,0.92689937
4.64,0.72,0.35343492,0.38121362,0.20211788,0.38121362,0.33878638,0.72839071,0.91101868
4.66,0.72,0.36048356,0.36205151,0.20793365,0.36205151,0.35794849,0.76958925,0.89970432
4.68,0.72,0.36735217,0.3416686,0.21279674,0.3416686,0.3783314,0.81341252,0.89280098
4.7,0.72,0.37403984,0.34634172,0.21765292,0.34634172,0.37365828,0.80336529,0.88564612
4.72,0.72,0.38046541,0.38728077,0.22382121,0.38728077,0.33271923,0.71534634,0.87202214
4.74,0.72,0.38645647,0.47283949,0.23287642,0.47283949,0.24716051,0.5313951,0.84477198
4.76,0.72,0.39257325,0.2355989,0.23297542,0.2355989,0.4844011,1.0414624,0.86050721
4.78,0.72,0.39844622,0.3940615,0.23883309,0.3940615,0.3259385,0.70076778,0.84772805
4.8,0.72,0.4041911,0.34927577,0.24284919,0.34927577,0.37072423,0.7970571,0.84367438
4.82,0.72,0.40972751,0.38812482,0.24813194,0.38812482,0.33187518,0.71353164,0.83326296
4.84,0.72,0.41502989,0.40569735,0.25386159,0.40569735,0.31430265,0.67575069,0.82066198
4.86,0.72,0.4200405,0.43893327,0.26059147,0.43893327,0.28106673,0.60429347,0.8033525
4.88,0.72,0.42490795,0.38172467,0.26499631,0.38172467,0.33827533,0.72729197,0.79726765
4.9,0.72,0.42973758,0.33791887,0.26764804,0.33791887,0.38208113,0.82147444,0.7992042
4.92,0.72,0.43425879,0.45916257,0.27461221,0.45916257,0.26083743,0.56080047,0.7801319
4.94,0.72,0.43858263,0.41979606,0.27989162,0.41979606,0.30020394,0.64543848,0.76935643
4.96,0.72,0.44267364,0.44193222,0.28578401,0.44193222,0.27806778,0.59784573,0.75563557
4.98,0.72,0.44645631,0.48368932,0.29298056,0.48368932,0.23631068,0.50806796,0.73583016
5,0.72,0.45010478,0.41622609,0.29746222,0.41622609,0.30377391,0.65311392,0.72921286
5.02,0.72,0.45355193,0.45033151,0.3030211,0.45033151,0.26966849,0.57978725,0.71725881
5.04,0.72,0.45691929,0.40229716,0.30663114,0.40229716,0.31770284,0.6830611,0.714523
5.06,0.72,0.46003315,0.48231355,0.31301959,0.48231355,0.23768645,0.51102588,0.69824323
5.08,0.72,0.46310545,0.39585948,0.31603195,0.39585948,0.32414052,0.69690212,0.69813594
5.1,0.72,0.46606394,0.42869936,0.32012895,0.42869936,0.29130064,0.62629637,0.69238877
5.12,0.72,0.46860151,0.5704196,0.32923043,0.5704196,0.1495804,0.32159786,0.6627255
5.14,0.72,0.47073512,0.57901772,0.3383136,0.57901772,0.14098228,0.30311191,0.63395641
5.16,0.72,0.47285692,0.41805195,0.34121318,0.41805195,0.30194805,0.6491883,0.63517496
5.18,0.72,0.47489541,0.44977661,0.34516094,0.44977661,0.27022339,0.5809803,0.63083939
5.2,0.72,0.47685005,0.45251279,0.34906464,0.45251279,0.26748721,0.57509751,0.62638004
5.22,0.72,0.47870453,0.46242422,0.35318681,0.46242422,0.25757578,0.55378793,0.62057267
5.24,0.72,0.48038865,0.49734656,0.35842898,0.49734656,0.22265344,0.4787049,0.60922325
5.26,0.72,0.48190464,0.50260229,0.36367165,0.50260229,0.21739771,0.46740507,0.5978778
5.28,0.72,0.48349364,0.40020335,0.36500007,0.40020335,0.31979665,0.68756281,0.6050526
5.3,0.72,0.48477869,0.56629726,0.37231997,0.56629726,0.15370274,0.33046089,0.58308526
5.32,0.72,0.48625642,0.35451074,0.37167236,0.35451074,0.36548926,0.78580191,0.59930259
5.34,0.72,0.48778371,0.41033285,0.3730782,0.41033285,0.30966715,0.66578437,0.60462113
5.36,0.72,0.48936221,0.40682523,0.37430536,0.40682523,0.31317477,0.67332575,0.6101175
5.38,0.72,0.49065503,0.55576942,0.38090406,0.55576942,0.16423058,0.35309574,0.58955576
5.4,0.72,0.49200372,0.41309866,0.38207477,0.41309866,0.30690134,0.65983789,0.59517833
5.42,0.72,0.49320813,0.50034023,0.38637533,0.50034023,0.21965977,0.47226851,0.58534555
5.44,0.72,0.49447024,0.41474641,0.38740701,0.41474641,0.30525359,0.65629522,0.59102152
5.46,0.72,0.495466,0.55777792,0.39360231,0.55777792,0.16222208,0.34877746,0.571642
5.48,0.72,0.49615812,0.58514968,0.40056767,0.58514968,0.13485032,0.2899282,0.54910489
5.5,0.72,0.49666443,0.54429501,0.40579412,0.54429501,0.17570499,0.37776572,0.53539776
