t,u_raw,u_sat,u_rate,ref,psi,x,y
7.8,-128.23951,-16,-3.6,72,113.37893,8.1868209,16.002745
7.84,-127.99929,-16,-3.8,72,113.30659,8.1393427,16.112953
7.88,-127.7249,-16,-4,72,113.22319,8.0920251,16.22323
7.92,-127.41661,-16,-4.2,72,113.12882,8.0448891,16.333585
7.96,-127.07469,-16,-4.4,72,113.02357,7.9979559,16.444026
8,-126.69943,-16,-4.6,72,112.90753,7.9512465,16.554562
8.04,-126.29114,-16,-4.8,72,112.78079,7.9047817,16.665201
8.08,-125.85011,-16,-5,72,112.64345,7.8585823,16.775952
8.12,-125.37666,-16,-5.2,72,112.49561,7.8126688,16.886821
8.16,-124.87109,-16,-5.4,72,112.33737,7.7670617,16.997816
8.2,-124.33375,-16,-5.6,72,112.16883,7.7217812,17.108945
8.24,-123.76495,-16,-5.8,72,111.9901,7.6768477,17.220215
8.28,-123.16503,-16,-6,72,111.80129,7.632281,17.331632
8.32,-122.53435,-16,-6.2,72,111.60251,7.5881012,17.443204
8.36,-121.87325,-16,-6.4,72,111.39386,7.5443279,17.554935
8.4,-121.18209,-16,-6.6,72,111.17548,7.5009809,17.666832
8.44,-120.46124,-16,-6.8,72,110.94746,7.4580795,17.778901
8.48,-119.71106,-16,-7,72,110.70994,7.415643,17.891147
8.52,-118.93193,-16,-7.2,72,110.46302,7.3736907,18.003575
8.56,-118.12424,-16,-7.4,72,110.20684,7.3322415,18.116189
8.6,-117.28837,-16,-7.6,72,109.94151,7.2913142,18.228994
8.64,-116.42472,-16,-7.8,72,109.66717,7.2509275,18.341994
8.68,-115.53369,-16,-8,72,109.38394,7.2110999,18.455192
8.72,-114.61568,-16,-8.2,72,109.09195,7.1718497,18.568591
8.76,-113.67109,-16,-8.4,72,108.79133,7.133195,18.682195
8.8,-112.70036,-16,-8.6,72,108.48222,7.0951537,18.796006
8.84,-111.70388,-16,-8.8,72,108.16475,7.0577437,18.910025
8.88,-110.6821,-16,-9,72,107.83905,7.0209824,19.024256
8.92,-109.63544,-16,-9.2,72,107.50527,6.9848871,19.138698
8.96,-108.56432,-16,-9.4,72,107.16354,6.9494751,19.253354
9,-107.4692,-16,-9.6,72,106.81401,6.9147632,19.368224
9.04,-106.35051,-16,-9.8,72,106.45681,6.8807681,19.483308
9.08,-105.20869,-16,-10,72,106.09208,6.8475063,19.598606
9.12,-104.04421,-16,-10.2,72,105.71998,6.814994,19.714118
9.16,-102.8575,-16,-10.4,72,105.34065,6.7832471,19.829842
9.2,-101.64903,-16,-10.6,72,104.95424,6.7522814,19.945778
9.24,-100.41926,-16,-10.8,72,104.56088,6.7221123,20.061924
9.28,-99.168656,-16,-11,72,104.16074,6.6927552,20.178278
9.32,-97.897678,-16,-11.2,72,103.75397,6.6642248,20.294837
9.36,-96.606798,-16,-11.4,72,103.3407,6.6365359,20.411599
9.4,-95.29649,-16,-11.6,72,102.9211,6.6097028,20.52856
9.44,-93.967229,-16,-11.8,72,102.49532,6.5837396,20.645718
9.48,-92.619494,-16,-12,72,102.06352,6.5586601,20.763068
9.52,-91.253763,-16,-12.2,72,101.62583,6.5344777,20.880606
9.56,-89.870521,-16,-12.4,72,101.18243,6.5112057,20.998328
9.6,-88.470251,-16,-12.6,72,100.73347,6.4888568,21.116228
9.64,-87.05344,-16,-12.8,72,100.27911,6.4674436,21.234302
9.68,-85.620577,-16,-13,72,99.819491,6.4469782,21.352544
9.72,-84.172151,-16,-13.2,72,99.354785,6.4274726,21.470948
9.76,-82.708655,-16,-13.4,72,98.885146,6.408938,21.589508
9.8,-81.230581,-16,-13.6,72,98.410734,6.3913858,21.708218
9.84,-79.738424,-16,-13.8,72,97.931708,6.3748267,21.82707
9.88,-78.232678,-16,-14,72,97.448227,6.3592711,21.946057
9.92,-76.71384,-16,-14.2,72,96.960451,6.344729,22.065173
9.96,-75.182407,-16,-14.4,72,96.46854,6.3312101,22.184409
10,-73.638876,-16,-14.6,72,95.972655,6.3187236,22.303757
10.04,-72.083746,-16,-14.8,72,95.472955,6.3072785,22.42321
10.08,-70.517515,-16,-15,72,94.969603,6.2968832,22.542759
10.12,-68.940681,-16,-15.2,72,94.462758,6.2875459,22.662395
10.16,-67.353745,-16,-15.4,72,93.952581,6.2792742,22.78211
10.2,-65.757203,-16,-15.6,72,93.439233,6.2720754,22.901894
10.24,-64.151556,-16,-15.8,72,92.922875,6.2659564,23.021738
10.28,-62.537301,-16,-16,72,92.403667,6.2609237,23.141632
10.32,-60.914935,-16,-16,72,91.881771,6.2569832,23.261567
10.36,-59.284957,-16,-16,72,91.357346,6.2541406,23.381534
10.4,-57.647862,-16,-16,72,90.830553,6.2524012,23.501521
10.44,-56.004146,-16,-16,72,90.301552,6.2517696,23.621519
10.48,-54.354303,-16,-16,72,89.770501,6.2522503,23.741518
10.52,-52.698828,-16,-16,72,89.237561,6.2538471,23.861508
10.56,-51.038211,-16,-16,72,88.702891,6.2565635,23.981477
10.6,-49.372944,-16,-16,72,88.166648,6.2604026,24.101416
10.64,-47.703517,-16,-16,72,87.628991,6.265367,24.221313
10.68,-46.030416,-16,-16,72,87.090077,6.271459,24.341158
10.72,-44.354127,-16,-16,72,86.550063,6.2786801,24.460941
10.76,-42.675135,-16,-16,72,86.009106,6.2870319,24.58065
10.8,-40.99392,-16,-16,72,85.467361,6.2965151,24.700274
10.84,-39.310964,-16,-16,72,84.924982,6.3071303,24.819804
10.88,-37.626743,-16,-16,72,84.382125,6.3188775,24.939228
10.92,-35.941732,-16,-16,72,83.838943,6.3317563,25.058535
10.96,-34.256404,-16,-16,72,83.295589,6.345766,25.177714
11,-32.57123,-16,-16,72,82.752214,6.3609053,25.296755
11.04,-30.886675,-16,-16,72,82.208969,6.3771725,25.415647
11.08,-29.203204,-16,-16,72,81.666005,6.3945657,25.53438
11.12,-27.52128,-16,-16,72,81.123472,6.4130824,25.652943
11.16,-25.841359,-16,-16,72,80.581516,6.4327197,25.771325
11.2,-24.163898,-16,-16,72,80.040285,6.4534744,25.889517
11.24,-22.489348,-16,-16,72,79.499927,6.4753428,26.007507
11.28,-20.818157,-16,-16,72,78.960584,6.4983209,26.125287
11.32,-19.150771,-16,-16,72,78.422403,6.5224043,26.242845
11.36,-17.48763,-16,-16,72,77.885524,6.5475882,26.360173
11.4,-15.829173,-15.829173,-15.829173,72,77.350091,6.5738674,26.47726
11.44,-14.175833,-14.175833,-15.629173,72,76.816243,6.6012364,26.594097
11.48,-12.52804,-12.52804,-15.429173,72,76.28412,6.6296893,26.710675
11.52,-10.886219,-10.886219,-15.229173,72,75.75386,6.6592198,26.826985
11.56,-9.2507933,-9.2507933,-15.029173,72,75.225599,6.6898215,26.943018
11.6,-7.6221797,-7.6221797,-14.829173,72,74.699472,6.7214873,27.058764
11.64,-6.0007915,-6.0007915,-14.629173,72,74.175613,6.7542101,27.174216
11.68,-4.3870377,-4.3870377,-14.429173,72,73.654156,6.7879822,27.289366
11.72,-2.7813226,-2.7813226,-14.229173,72,73.13523,6.8227959,27.404205
11.76,-1.1840463,-1.1840463,-14.029173,72,72.618966,6.8586429,27.518726
11.8,0.40439607,0.40439607,-13.829173,72,72.105491,6.8955147,27.632921
11.84,1.983614,1.983614,-13.629173,72,71.594933,6.9334027,27.746782
11.88,3.5532217,3.5532217,-13.429173,72,71.087416,6.9722977,27.860304
11.92,5.1128383,5.1128383,-13.229173,72,70.583063,7.0121905,27.973479
11.96,6.662088,6.662088,-13.029173,72,70.081998,7.0530715,28.086301
12,8.2005999,8.2005999,-12.829173,72,69.58434,7.0949309,28.198763
12.04,9.7280083,9.7280083,-12.629173,72,69.090207,7.1377586,28.31086
12.08,11.243953,11.243953,-12.429173,72,68.599718,7.1815444,28.422587
12.12,12.748078,12.748078,-12.229173,72,68.112986,7.2262777,28.533937
12.16,14.240033,14.240033,-12.029173,72,67.630127,7.2719478,28.644907
12.2,15.719475,15.719475,-11.829173,72,67.151251,7.3185437,28.755491
12.24,17.186063,16,-11.629173,72,66.676469,7.3660545,28.865685
12.28,18.639465,16,-11.429173,72,66.205889,7.4144686,28.975485
12.32,20.079352,16,-11.229173,72,65.739618,7.4637747,29.084888
12.36,21.505402,16,-11.029173,72,65.277761,7.5139611,29.193889
12.4,22.917298,16,-10.829173,72,64.820421,7.5650159,29.302487
12.44,24.314729,16,-10.629173,72,64.367698,7.6169272,29.410677
12.48,25.697389,16,-10.429173,72,63.919692,7.6696828,29.518459
12.52,27.064981,16,-10.229173,72,63.476501,7.7232706,29.625829
12.56,28.41721,16,-10.029173,72,63.038219,7.7776781,29.732786
12.6,29.753788,16,-9.8291731,72,62.604941,7.8328929,29.839329
12.64,31.074435,16,-9.6291731,72,62.176758,7.8889024,29.945456
12.68,32.378874,16,-9.4291731,72,61.75376,7.9456938,30.051166
12.72,33.666837,16,-9.2291731,72,61.336034,8.0032544,30.15646
12.76,34.938061,16,-9.0291731,72,60.923667,8.0615713,30.261337
12.8,36.192287,16,-8.8291731,72,60.516741,8.1206316,30.365797
12.84,37.429266,16,-8.6291731,72,60.11534,8.1804223,30.46984
12.88,38.648752,16,-8.4291731,72,59.719542,8.2409303,30.573468
12.92,39.850508,16,-8.2291731,72,59.329426,8.3021424,30.676682
12.96,41.034301,16,-8.0291731,72,58.945067,8.3640456,30.779483
13,42.199905,16,-7.8291731,72,58.56654,8.4266266,30.881872
13.04,43.347102,16,-7.6291731,72,58.193915,8.4898721,30.983853
13.08,44.475677,16,-7.4291731,72,57.827262,8.5537689,31.085426
13.12,45.585425,16,-7.2291731,72,57.466649,8.6183038,31.186596
13.16,46.676145,16,-7.0291731,72,57.112142,8.6834633,31.287364
13.2,47.747643,16,-6.8291731,72,56.763804,8.7492344,31.387734
13.24,48.799732,16,-6.6291731,72,56.421695,8.8156035,31.48771
13.28,49.832231,16,-6.4291731,72,56.085877,8.8825574,31.587295
13.32,50.844966,16,-6.2291731,72,55.756405,8.950083,31.686493
13.36,51.837768,16,-6.0291731,72,55.433335,9.0181667,31.785309
13.4,52.810477,16,-5.8291731,72,55.11672,9.0867955,31.883748
