t,u_raw,u_sat,u_rate,ref,psi,x,y
50.04,2.79321,2.79321,2.79321,72,71.088337,69.475032,116.24498
50.08,2.718473,2.718473,2.718473,72,71.112382,69.513877,116.35852
50.12,2.6434098,2.6434098,2.6434098,72,71.136536,69.552675,116.47207
50.16,2.5680428,2.5680428,2.5680428,72,71.160792,69.591425,116.58564
50.2,2.492395,2.492395,2.492395,72,71.185141,69.630126,116.69923
50.24,2.4164888,2.4164888,2.4164888,72,71.209578,69.668779,116.81283
50.28,2.3403468,2.3403468,2.3403468,72,71.234093,69.707383,116.92645
50.32,2.2639916,2.2639916,2.2639916,72,71.258681,69.745939,117.04009
50.36,2.1874455,2.1874455,2.1874455,72,71.283333,69.784445,117.15375
50.4,2.110731,2.110731,2.110731,72,71.308043,69.822903,117.26742
50.44,2.0338702,2.0338702,2.0338702,72,71.332804,69.861311,117.3811
50.48,1.9568855,1.9568855,1.9568855,72,71.357608,69.899671,117.49481
50.52,1.8797988,1.8797988,1.8797988,72,71.382448,69.937981,117.60853
50.56,1.8026322,1.8026322,1.8026322,72,71.407317,69.976241,117.72227
50.6,1.7254076,1.7254076,1.7254076,72,71.432208,70.014452,117.83602
50.64,1.6481467,1.6481467,1.6481467,72,71.457114,70.052614,117.94979
50.68,1.5708713,1.5708713,1.5708713,72,71.482027,70.090726,118.06358
50.72,1.4936028,1.4936028,1.4936028,72,71.506942,70.128789,118.17738
50.76,1.4163627,1.4163627,1.4163627,72,71.531851,70.166802,118.2912
50.8,1.3391723,1.3391723,1.3391723,72,71.556747,70.204766,118.40504
50.84,1.2620527,1.2620527,1.2620527,72,71.581623,70.242681,118.51889
50.88,1.185025,1.185025,1.185025,72,71.606473,70.280546,118.63276
50.92,1.10811,1.10811,1.10811,72,71.631289,70.318361,118.74664
50.96,1.0313284,1.0313284,1.0313284,72,71.656066,70.356128,118.86055
51,0.95470084,0.95470084,0.95470084,72,71.680796,70.393845,118.97447
51.04,0.87824767,0.87824767,0.87824767,72,71.705473,70.431513,119.0884
51.08,0.80198913,0.80198913,0.80198913,72,71.73009,70.469133,119.20235
51.12,0.72594529,0.72594529,0.72594529,72,71.75464,70.506703,119.31632
51.16,0.65013605,0.65013605,0.65013605,72,71.779119,70.544225,119.4303
51.2,0.5745811,0.5745811,0.5745811,72,71.803518,70.581698,119.5443
51.24,0.49929998,0.49929998,0.49929998,72,71.827831,70.619123,119.65831
51.28,0.42431203,0.42431203,0.42431203,72,71.852053,70.656499,119.77234
