t,psi_ref,psi,psi_meas,x,y,cmd,delta
7.4,0.045237278,0.0078178251,0.0076660731,23.68,0.00086221071,0.051219437,0.030743313
7.45,0.045965498,0.0079718421,0.0078178251,23.84,0.00088447229,0.052015024,0.031186473
7.5,0.046705418,0.008128156,0.0079718421,24,0.00090717039,0.052824442,0.031637264
7.55,0.047457226,0.0082867998,0.008128156,24.16,0.0009303115,0.053647904,0.032095819
7.6,0.048221111,0.0084478066,0.0082867998,24.32,0.00095390222,0.054485626,0.032562274
7.65,0.048997266,0.0086112104,0.0084478066,24.48,0.00097794926,0.055337829,0.033036765
7.7,0.049785888,0.008777046,0.0086112104,24.64,0.0010024594,0.056204735,0.033519431
7.75,0.050587176,0.0089453485,0.008777046,24.8,0.0010274395,0.057086571,0.034010413
7.8,0.051401333,0.0091161539,0.0089453485,24.96,0.0010528966,0.057983566,0.034509853
7.85,0.052228565,0.0092894989,0.0091161539,25.12,0.0010788378,0.058895954,0.035017897
7.9,0.05306908,0.0094654207,0.0092894989,25.28,0.0011052702,0.05982397,0.03553469
7.95,0.053923092,0.0096439573,0.0094654207,25.44,0.0011322012,0.060767855,0.036060381
8,0.054790815,0.0098251475,0.0096439573,25.6,0.0011596382,0.061727851,0.03659512
8.05,0.055672468,0.010009031,0.0098251475,25.76,0.0011875887,0.062704207,0.03713906
8.1,0.056568276,0.010195647,0.010009031,25.92,0.0012160603,0.063697173,0.037692354
8.15,0.057478462,0.010385038,0.010195647,26.08,0.0012450608,0.064707003,0.038255159
8.2,0.058403258,0.010577244,0.010385038,26.24,0.0012745981,0.065733956,0.038827634
8.25,0.059342897,0.010772309,0.010577244,26.4,0.00130468,0.066778294,0.039409939
8.3,0.060297615,0.010970275,0.010772309,26.56,0.0013353148,0.067840283,0.040002238
8.35,0.061267654,0.011171186,0.010970275,26.72,0.0013665107,0.068920192,0.040604695
8.4,0.062253257,0.011375088,0.011171186,26.88,0.0013982759,0.070018298,0.041217479
8.45,0.063254674,0.011582026,0.011375088,27.04,0.001430619,0.071134877,0.041840758
8.5,0.064272156,0.011792046,0.011582026,27.2,0.0014635486,0.072270212,0.042474705
