t,delta,psi,x,y,R,delta_needed,start_radius,obstacle_x,obstacle_y,obstacle_radius,clearance,delta_target,dist,started,collision
50.2,13.650419,68.837748,163.09237,89.557991,140,13.650419,114.7214,145,0,25,41,13.650419,91.367213,1,0
50.25,13.650419,68.919599,163.1643,89.744606,140,13.650419,114.7214,145,0,25,41,13.650419,91.564383,1,0
50.3,13.650419,69.00145,163.23597,89.931324,140,13.650419,114.7214,145,0,25,41,13.650419,91.761614,1,0
50.35,13.650419,69.083301,163.30738,90.118144,140,13.650419,114.7214,145,0,25,41,13.650419,91.958903,1,0
50.4,13.650419,69.165152,163.37851,90.305066,140,13.650419,114.7214,145,0,25,41,13.650419,92.156251,1,0
50.45,13.650419,69.247003,163.44938,90.49209,140,13.650419,114.7214,145,0,25,41,13.650419,92.353656,1,0
50.5,13.650419,69.328854,163.51998,90.679214,140,13.650419,114.7214,145,0,25,41,13.650419,92.551118,1,0
50.55,13.650419,69.410706,163.59031,90.866439,140,13.650419,114.7214,145,0,25,41,13.650419,92.748636,1,0
50.6,13.650419,69.492557,163.66038,91.053764,140,13.650419,114.7214,145,0,25,41,13.650419,92.946209,1,0
50.65,13.650419,69.574408,163.73018,91.24119,140,13.650419,114.7214,145,0,25,41,13.650419,93.143836,1,0
50.7,13.650419,69.656259,163.79971,91.428714,140,13.650419,114.7214,145,0,25,41,13.650419,93.341517,1,0
50.75,13.650419,69.73811,163.86897,91.616338,140,13.650419,114.7214,145,0,25,41,13.650419,93.539251,1,0
50.8,13.650419,69.819961,163.93796,91.804061,140,13.650419,114.7214,145,0,25,41,13.650419,93.737037,1,0
50.85,13.650419,69.901812,164.00669,91.991882,140,13.650419,114.7214,145,0,25,41,13.650419,93.934874,1,0
50.9,13.650419,69.983663,164.07515,92.179801,140,13.650419,114.7214,145,0,25,41,13.650419,94.132762,1,0
50.95,13.650419,70.065514,164.14334,92.367818,140,13.650419,114.7214,145,0,25,41,13.650419,94.3307,1,0
51,13.050419,70.143637,164.21127,92.555927,140,13.650419,114.7214,145,0,25,41,0,94.528686,1,0
51.05,12.450419,70.21805,164.27896,92.744124,140,13.650419,114.7214,145,0,25,41,0,94.726716,1,0
51.1,11.850419,70.28877,164.34641,92.932405,140,13.650419,114.7214,145,0,25,41,0,94.924789,1,0
51.15,11.250419,70.355812,164.41365,93.120765,140,13.650419,114.7214,145,0,25,41,0,95.122903,1,0
51.2,10.650419,70.419194,164.48068,93.309199,140,13.650419,114.7214,145,0,25,41,0,95.321054,1,0
51.25,10.050419,70.478928,164.54751,93.497703,140,13.650419,114.7214,145,0,25,41,0,95.519241,1,0
51.3,9.4504191,70.535028,164.61415,93.686272,140,13.650419,114.7214,145,0,25,41,0,95.717462,1,0
51.35,8.8504191,70.587507,164.68063,93.874902,140,13.650419,114.7214,145,0,25,41,0,95.915714,1,0
51.4,8.2504191,70.636378,164.74694,94.063588,140,13.650419,114.7214,145,0,25,41,0,96.113996,1,0
51.45,7.6504191,70.681649,164.8131,94.252327,140,13.650419,114.7214,145,0,25,41,0,96.312306,1,0
51.5,7.0504191,70.723333,164.87913,94.441115,140,13.650419,114.7214,145,0,25,41,0,96.510641,1,0
51.55,6.4504191,70.761438,164.94503,94.629946,140,13.650419,114.7214,145,0,25,41,0,96.709,1,0
51.6,5.8504191,70.795972,165.01081,94.818816,140,13.650419,114.7214,145,0,25,41,0,96.907382,1,0
51.65,5.2504191,70.826944,165.0765,95.007722,140,13.650419,114.7214,145,0,25,41,0,97.105783,1,0
51.7,4.6504191,70.854359,165.14209,95.19666,140,13.650419,114.7214,145,0,25,41,0,97.304203,1,0
51.75,4.0504191,70.878225,165.20761,95.385625,140,13.650419,114.7214,145,0,25,41,0,97.50264,1,0
51.8,3.4504191,70.898546,165.27306,95.574613,140,13.650419,114.7214,145,0,25,41,0,97.701093,1,0
51.85,2.8504191,70.915327,165.33845,95.76362,140,13.650419,114.7214,145,0,25,41,0,97.899558,1,0
51.9,2.2504191,70.928572,165.4038,95.952643,140,13.650419,114.7214,145,0,25,41,0,98.098036,1,0
51.95,1.6504191,70.938283,165.46912,96.141676,140,13.650419,114.7214,145,0,25,41,0,98.296524,1,0
52,1.0504191,70.944463,165.53441,96.330717,140,13.650419,114.7214,145,0,25,41,0,98.495021,1,0
52.05,0.45041913,70.947112,165.5997,96.51976,140,13.650419,114.7214,145,0,25,41,0,98.693525,1,0
52.1,0,70.947112,165.66499,96.708804,140,13.650419,114.7214,145,0,25,41,0,98.892035,1,0
52.15,0,70.947112,165.73028,96.897847,140,13.650419,114.7214,145,0,25,41,0,99.090551,1,0
52.2,0,70.947112,165.79557,97.086891,140,13.650419,114.7214,145,0,25,41,0,99.289073,1,0
52.25,0,70.947112,165.86085,97.275934,140,13.650419,114.7214,145,0,25,41,0,99.4876,1,0
52.3,0,70.947112,165.92614,97.464978,140,13.650419,114.7214,145,0,25,41,0,99.686134,1,0
52.35,0,70.947112,165.99143,97.654021,140,13.650419,114.7214,145,0,25,41,0,99.884674,1,0
52.4,0,70.947112,166.05672,97.843065,140,13.650419,114.7214,145,0,25,41,0,100.08322,1,0
52.45,0,70.947112,166.12201,98.032108,140,13.650419,114.7214,145,0,25,41,0,100.28177,1,0
52.5,0,70.947112,166.1873,98.221152,140,13.650419,114.7214,145,0,25,41,0,100.48033,1,0
52.55,0,70.947112,166.25258,98.410195,140,13.650419,114.7214,145,0,25,41,0,100.67889,1,0
52.6,0,70.947112,166.31787,98.599239,140,13.650419,114.7214,145,0,25,41,0,100.87746,1,0
52.65,0,70.947112,166.38316,98.788283,140,13.650419,114.7214,145,0,25,41,0,101.07603,1,0
52.7,0,70.947112,166.44845,98.977326,140,13.650419,114.7214,145,0,25,41,0,101.27461,1,0
52.75,0,70.947112,166.51374,99.16637,140,13.650419,114.7214,145,0,25,41,0,101.4732,1,0
