minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
153,5.03831,5.13429,0.40733,0.00000,0.00000,17.30704,2
154,5.03598,5.13391,0.40666,0.00000,0.00000,17.69392,2
155,5.03465,5.13352,0.40654,0.00000,0.00000,17.72196,2
156,5.03341,5.13312,0.40638,0.00000,0.00000,17.92515,2
157,5.03268,5.13272,0.40644,0.00000,0.00000,18.47150,2
158,5.03324,5.13232,0.40711,0.00000,0.00000,18.50160,2
159,5.03382,5.13192,0.40769,0.00000,0.00000,17.38515,2
160,5.03168,5.13153,0.40691,0.00000,0.00000,17.96728,2
161,5.03101,5.13113,0.40706,0.00000,0.00000,18.35564,2
162,5.03126,5.13073,0.40755,0.00000,0.00000,17.60514,2
163,5.02967,5.13033,0.40705,0.00000,0.00000,17.92745,2
164,5.02891,5.12993,0.40710,0.00000,0.00000,17.92532,2
165,5.02815,5.12953,0.40706,0.00000,0.00000,18.16735,2
166,5.02797,5.12912,0.40732,0.00000,0.00000,17.52584,2
167,5.02624,5.12872,0.40675,0.00000,0.00000,17.81158,2
168,5.02526,5.12831,0.40665,0.00000,0.00000,17.79791,2
169,5.02425,5.12790,0.40649,0.00000,0.00000,17.60086,2
170,5.02281,5.12748,0.40608,0.00000,0.00000,17.91987,2
171,5.02216,5.12706,0.40611,0.00000,0.00000,17.82945,2
172,5.02131,5.12664,0.40595,0.00000,0.00000,17.75493,2
173,5.02030,5.12622,0.40573,0.00000,0.00000,17.72928,2
174,5.01925,5.12580,0.40549,0.00000,0.00000,17.99854,2
175,5.01887,5.12537,0.40558,0.00000,0.00000,18.04575,2
176,5.01860,5.12495,0.40566,0.00000,0.00000,18.10427,2
177,5.01846,5.12452,0.40580,0.00000,0.00000,18.57630,2
178,5.01943,5.12410,0.40648,0.00000,0.00000,18.40645,2
179,5.01992,5.12368,0.40684,0.00000,0.00000,17.96107,2
180,5.01932,5.12326,0.40670,0.00000,0.00000,17.94667,2
181,5.01869,5.12285,0.40662,0.00000,0.00000,17.83678,2
182,5.01781,5.12243,0.40642,0.00000,0.00000,18.46386,2
183,5.01845,5.12201,0.40699,0.00000,0.00000,17.38396,2
184,5.01646,5.12160,0.40613,0.00000,0.00000,18.08199,2
185,5.01622,5.12118,0.40633,0.00000,0.00000,17.80716,2
186,5.01531,5.12076,0.40606,0.00000,0.00000,18.15296,2
187,5.01525,5.12033,0.40625,0.00000,0.00000,18.70600,2
188,5.01649,5.11991,0.40703,0.00000,0.00000,18.68082,2
189,5.01758,5.11950,0.40764,0.00000,0.00000,17.74253,2
190,5.01638,5.11909,0.40713,0.00000,0.00000,17.63974,2
191,5.01498,5.11868,0.40669,0.00000,0.00000,18.86049,2
192,5.01654,5.11827,0.40773,0.00000,0.00000,18.16176,2
193,5.01632,5.11786,0.40766,0.00000,0.00000,18.49972,2
194,5.01692,5.11745,0.40814,0.00000,0.00000,18.11655,2
195,5.01655,5.11705,0.40808,0.00000,0.00000,18.47151,2
196,5.01703,5.11665,0.40851,0.00000,0.00000,18.29976,2
197,5.01706,5.11625,0.40866,0.00000,0.00000,18.95644,2
198,5.01863,5.11585,0.40962,0.00000,0.00000,18.02480,2
199,5.01788,5.11547,0.40930,0.00000,0.00000,17.96018,2
200,5.01702,5.11508,0.40911,0.00000,0.00000,17.66401,2
201,5.01546,5.11468,0.40857,0.00000,0.00000,17.74779,2
202,5.01417,5.11429,0.40820,0.00000,0.00000,18.29503,2
203,5.01423,5.11389,0.40848,0.00000,0.00000,17.88739,2
204,5.01328,5.11349,0.40814,0.00000,0.00000,18.01880,2
205,5.01268,5.11309,0.40805,0.00000,0.00000,18.50210,2
206,5.01325,5.11268,0.40851,0.00000,0.00000,17.94350,2
207,5.01244,5.11229,0.40819,0.00000,0.00000,17.98072,2
208,5.01174,5.11189,0.40803,0.00000,0.00000,18.86490,2
209,5.01317,5.11149,0.40892,0.00000,0.00000,18.35236,2
210,5.01329,5.11109,0.40899,0.00000,0.00000,18.17776,2
211,5.01297,5.11070,0.40896,0.00000,0.00000,17.95550,2
212,5.01214,5.11031,0.40870,0.00000,0.00000,18.03293,2
213,5.01151,5.10992,0.40857,0.00000,0.00000,17.53911,2
214,5.00972,5.10953,0.40784,0.00000,0.00000,18.72704,2
215,5.01084,5.10913,0.40864,0.00000,0.00000,18.26047,2
216,5.01076,5.10873,0.40862,0.00000,0.00000,18.79270,2
217,5.01195,5.10834,0.40933,0.00000,0.00000,18.48010,2
218,5.01232,5.10796,0.40954,0.00000,0.00000,18.16126,2
219,5.01190,5.10757,0.40943,0.00000,0.00000,18.36016,2
220,5.01197,5.10719,0.40961,0.00000,0.00000,18.53269,2
221,5.01243,5.10681,0.40996,0.00000,0.00000,18.81488,2
222,5.01352,5.10643,0.41059,0.00000,0.00000,18.85569,2
223,5.01464,5.10606,0.41120,0.00000,0.00000,18.40602,2
224,5.01462,5.10569,0.41124,0.00000,0.00000,18.73352,2
225,5.01538,5.10533,0.41177,0.00000,0.00000,18.49885,2
226,5.01552,5.10497,0.41193,0.00000,0.00000,18.65075,2
227,5.01600,5.10461,0.41232,0.00000,0.00000,18.59637,2
228,5.01631,5.10426,0.41260,0.00000,0.00000,18.74328,2
229,5.01694,5.10391,0.41305,0.00000,0.00000,18.87136,2
230,5.01783,5.10356,0.41361,0.00000,0.00000,18.07158,2
231,5.01675,5.10322,0.41318,0.00000,0.00000,18.48857,2
232,5.01672,5.10287,0.41342,0.00000,0.00000,19.43182,2
233,5.01890,5.10253,0.41468,0.00000,0.00000,18.93183,2
234,5.01976,5.10219,0.41512,0.00000,0.00000,18.73231,2
235,5.02010,5.10186,0.41542,0.00000,0.00000,19.00824,2
236,5.02106,5.10153,0.41607,0.00000,0.00000,18.85281,2
237,5.02158,5.10121,0.41647,0.00000,0.00000,18.83773,2
238,5.02202,5.10089,0.41686,0.00000,0.00000,18.58398,2
239,5.02182,5.10058,0.41695,0.00000,0.00000,19.54503,2
240,5.02390,5.10026,0.41822,0.00000,0.00000,18.44689,2
241,5.02323,5.09996,0.41796,0.00000,0.00000,18.36834,2
242,5.02240,5.09965,0.41783,0.00000,0.00000,18.52338,2
243,5.02196,5.09934,0.41790,0.00000,0.00000,18.62407,2
244,5.02176,5.09903,0.41805,0.00000,0.00000,18.87740,2
245,5.02214,5.09872,0.41848,0.00000,0.00000,18.54754,2
246,5.02170,5.09842,0.41845,0.00000,0.00000,18.80457,2
247,5.02187,5.09811,0.41879,0.00000,0.00000,18.41736,2
248,5.02109,5.09780,0.41860,0.00000,0.00000,18.58397,2
249,5.02073,5.09750,0.41870,0.00000,0.00000,18.57649,2
250,5.02034,5.09719,0.41874,0.00000,0.00000,18.94024,2
251,5.02082,5.09688,0.41921,0.00000,0.00000,18.96975,2
252,5.02132,5.09658,0.41963,0.00000,0.00000,18.56748,2
253,5.02083,5.09628,0.41956,0.00000,0.00000,19.40217,2
254,5.02232,5.09598,0.42055,0.00000,0.00000,19.39372,2
255,5.02370,5.09568,0.42134,0.00000,0.00000,19.65065,2
256,5.02560,5.09539,0.42242,0.00000,0.00000,18.64502,2
257,5.02499,5.09511,0.42222,0.00000,0.00000,18.83667,2
258,5.02486,5.09483,0.42245,0.00000,0.00000,19.28282,2
259,5.02577,5.09455,0.42317,0.00000,0.00000,19.01284,2
260,5.02597,5.09428,0.42345,0.00000,0.00000,18.77249,2
261,5.02556,5.09401,0.42349,0.00000,0.00000,19.21537,2
262,5.02621,5.09373,0.42411,0.00000,0.00000,19.04257,2
263,5.02639,5.09346,0.42441,0.00000,0.00000,19.50614,2
264,5.02764,5.09319,0.42528,0.00000,0.00000,19.06749,2
265,5.02776,5.09293,0.42552,0.00000,0.00000,18.98269,2
266,5.02765,5.09267,0.42573,0.00000,0.00000,19.14049,2
267,5.02790,5.09241,0.42614,0.00000,0.00000,18.58931,2
268,5.02680,5.09215,0.42585,0.00000,0.00000,19.08679,2
269,5.02692,5.09189,0.42627,0.00000,0.00000,19.68717,2
270,5.02843,5.09163,0.42728,0.00000,0.00000,19.06974,2
271,5.02837,5.09138,0.42741,0.00000,0.00000,19.23922,2
272,5.02869,5.09113,0.42786,0.00000,0.00000,19.12457,2
273,5.02871,5.09088,0.42813,0.00000,0.00000,18.98117,2
274,5.02835,5.09063,0.42824,0.00000,0.00000,19.76594,2
275,5.02986,5.09038,0.42931,0.00000,0.00000,19.72186,2
276,5.03115,5.09014,0.43013,0.00000,0.00000,18.91056,2
277,5.03043,5.08990,0.42998,0.00000,0.00000,18.97712,2
278,5.02988,5.08966,0.43007,0.00000,0.00000,19.12121,2
279,5.02968,5.08942,0.43031,0.00000,0.00000,19.33311,2
280,5.02996,5.08918,0.43076,0.00000,0.00000,18.97069,2
281,5.02934,5.08895,0.43072,0.00000,0.00000,18.90817,2
282,5.02857,5.08871,0.43069,0.00000,0.00000,19.48481,2
283,5.02919,5.08847,0.43134,0.00000,0.00000,19.24864,2
284,5.02918,5.08823,0.43158,0.00000,0.00000,19.32553,2
285,5.02934,5.08800,0.43195,0.00000,0.00000,19.42432,2
286,5.02969,5.08776,0.43241,0.00000,0.00000,18.82012,2
287,5.02856,5.08753,0.43211,0.00000,0.00000,19.27416,2
288,5.02855,5.08729,0.43248,0.00000,0.00000,19.23110,2
289,5.02841,5.08706,0.43270,0.00000,0.00000,19.98122,2
290,5.03003,5.08682,0.43381,0.00000,0.00000,19.90673,2
291,5.03137,5.08660,0.43464,0.00000,0.00000,19.42045,2
292,5.03145,5.08638,0.43489,0.00000,0.00000,19.85636,2
293,5.03256,5.08616,0.43575,0.00000,0.00000,19.79462,2
294,5.03343,5.08594,0.43643,0.00000,0.00000,19.44996,2
295,5.03341,5.08573,0.43668,0.00000,0.00000,19.67306,2
296,5.03390,5.08552,0.43726,0.00000,0.00000,19.40250,2
297,5.03369,5.08532,0.43746,0.00000,0.00000,19.54092,2
298,5.03380,5.08511,0.43786,0.00000,0.00000,19.22262,2
299,5.03311,5.08490,0.43785,0.00000,0.00000,19.78128,2
300,5.03376,5.08470,0.43856,0.00000,0.00000,19.27666,2
301,5.03314,5.08449,0.43854,0.00000,0.00000,19.10994,2
302,5.03213,5.08429,0.43841,0.00000,0.00000,19.50535,2
303,5.03208,5.08408,0.43879,0.00000,0.00000,19.47969,2
304,5.03194,5.08387,0.43905,0.00000,0.00000,20.10436,2
305,5.03327,5.08366,0.44004,0.00000,0.00000,20.16926,2
306,5.03465,5.08346,0.44096,0.00000,0.00000,19.48335,2
307,5.03431,5.08327,0.44102,0.00000,0.00000,19.04959,2
308,5.03293,5.08307,0.44070,0.00000,0.00000,20.03400,2
309,5.03394,5.08287,0.44165,0.00000,0.00000,19.63535,2
