minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
155,5.08053,5.14432,0.45444,0.00000,0.00000,17.47078,2
156,5.07437,5.14406,0.45262,0.00000,0.00000,17.48238,2
157,5.06846,5.14379,0.45090,0.00000,0.00000,18.02951,2
158,5.06407,5.14348,0.44986,0.00000,0.00000,18.33958,2
159,5.06055,5.14317,0.44909,0.00000,0.00000,18.38651,2
160,5.05725,5.14284,0.44833,0.00000,0.00000,18.25515,2
161,5.05374,5.14249,0.44741,0.00000,0.00000,17.96082,2
162,5.04964,5.14214,0.44618,0.00000,0.00000,17.68753,2
163,5.04504,5.14177,0.44471,0.00000,0.00000,17.88100,2
164,5.04108,5.14138,0.44354,0.00000,0.00000,17.21106,2
165,5.03566,5.14098,0.44156,0.00000,0.00000,17.66335,2
166,5.03155,5.14056,0.44029,0.00000,0.00000,17.83707,2
167,5.02800,5.14012,0.43916,0.00000,0.00000,18.41989,2
168,5.02597,5.13967,0.43871,0.00000,0.00000,17.94926,2
169,5.02288,5.13922,0.43759,0.00000,0.00000,17.66293,2
170,5.01923,5.13875,0.43624,0.00000,0.00000,17.78547,2
171,5.01603,5.13828,0.43512,0.00000,0.00000,18.36119,2
172,5.01432,5.13779,0.43469,0.00000,0.00000,18.67636,2
173,5.01341,5.13729,0.43452,0.00000,0.00000,18.13633,2
174,5.01124,5.13680,0.43364,0.00000,0.00000,18.02269,2
175,5.00890,5.13630,0.43275,0.00000,0.00000,17.72770,2
176,5.00595,5.13579,0.43155,0.00000,0.00000,18.51072,2
177,5.00499,5.13527,0.43137,0.00000,0.00000,17.52187,2
178,5.00170,5.13475,0.42985,0.00000,0.00000,18.59093,2
179,5.00111,5.13421,0.42983,0.00000,0.00000,18.91788,2
180,5.00130,5.13368,0.42999,0.00000,0.00000,18.22234,2
181,4.99982,5.13315,0.42925,0.00000,0.00000,17.97230,2
182,4.99782,5.13262,0.42836,0.00000,0.00000,18.32824,2
183,4.99675,5.13208,0.42797,0.00000,0.00000,17.82706,2
184,4.99454,5.13154,0.42691,0.00000,0.00000,18.28677,2
185,4.99352,5.13099,0.42653,0.00000,0.00000,18.09793,2
186,4.99209,5.13044,0.42583,0.00000,0.00000,18.05251,2
187,4.99063,5.12989,0.42513,0.00000,0.00000,17.96960,2
188,4.98903,5.12933,0.42436,0.00000,0.00000,17.62066,2
189,4.98668,5.12877,0.42320,0.00000,0.00000,17.43749,2
190,4.98402,5.12820,0.42192,0.00000,0.00000,17.83741,2
191,4.98243,5.12762,0.42118,0.00000,0.00000,18.31042,2
192,4.98205,5.12704,0.42094,0.00000,0.00000,18.45671,2
193,4.98203,5.12646,0.42079,0.00000,0.00000,17.58065,2
194,4.97994,5.12588,0.41956,0.00000,0.00000,18.37114,2
195,4.97984,5.12530,0.41948,0.00000,0.00000,18.04356,2
196,4.97897,5.12472,0.41885,0.00000,0.00000,18.20480,2
197,4.97854,5.12414,0.41849,0.00000,0.00000,18.22448,2
198,4.97818,5.12355,0.41813,0.00000,0.00000,18.62763,2
199,4.97881,5.12297,0.41826,0.00000,0.00000,18.15243,2
200,4.97828,5.12240,0.41773,0.00000,0.00000,18.51854,2
201,4.97866,5.12182,0.41775,0.00000,0.00000,17.99846,2
202,4.97780,5.12125,0.41707,0.00000,0.00000,17.94613,2
203,4.97687,5.12067,0.41646,0.00000,0.00000,18.25507,2
204,4.97673,5.12010,0.41623,0.00000,0.00000,18.65203,2
205,4.97755,5.11952,0.41642,0.00000,0.00000,18.35677,2
206,4.97764,5.11896,0.41617,0.00000,0.00000,18.50433,2
207,4.97809,5.11839,0.41616,0.00000,0.00000,18.18469,2
208,4.97776,5.11783,0.41575,0.00000,0.00000,18.02779,2
209,4.97710,5.11727,0.41522,0.00000,0.00000,18.52802,2
210,4.97767,5.11671,0.41533,0.00000,0.00000,17.86431,2
211,4.97663,5.11615,0.41454,0.00000,0.00000,17.90173,2
212,4.97576,5.11559,0.41395,0.00000,0.00000,18.71727,2
213,4.97688,5.11504,0.41434,0.00000,0.00000,18.44350,2
214,4.97730,5.11448,0.41423,0.00000,0.00000,17.95251,2
215,4.97655,5.11393,0.41359,0.00000,0.00000,18.06475,2
216,4.97612,5.11338,0.41320,0.00000,0.00000,17.77242,2
217,4.97502,5.11284,0.41245,0.00000,0.00000,18.41496,2
218,4.97552,5.11228,0.41254,0.00000,0.00000,17.81100,2
219,4.97456,5.11174,0.41178,0.00000,0.00000,18.08934,2
220,4.97434,5.11119,0.41149,0.00000,0.00000,18.22923,2
221,4.97447,5.11064,0.41131,0.00000,0.00000,18.76945,2
222,4.97589,5.11010,0.41176,0.00000,0.00000,18.06680,2
223,4.97557,5.10956,0.41124,0.00000,0.00000,18.26594,2
224,4.97577,5.10902,0.41113,0.00000,0.00000,18.65770,2
