minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
2823,5.21061,5.19638,0.55332,0.00000,0.00000,17.80337,2
2824,5.19618,5.19644,0.20642,0.00000,0.00000,17.87838,3
2825,5.20986,5.19644,0.55239,0.00000,0.00000,18.03895,2
2826,5.19607,5.19649,0.20581,0.00000,0.00000,18.42967,3
2827,5.21112,5.19649,0.55240,0.00000,0.00000,17.93362,2
2828,5.19706,5.19655,0.20551,0.00000,0.00000,17.53830,3
2829,5.21000,5.19655,0.55115,0.00000,0.00000,17.58427,2
2830,5.19522,5.19660,0.20421,0.00000,0.00000,18.12057,3
2831,5.20967,5.19660,0.55051,0.00000,0.00000,18.02877,2
2832,5.19601,5.19665,0.20394,0.00000,0.00000,17.67926,3
2833,5.20943,5.19665,0.54969,0.00000,0.00000,18.39131,2
2834,5.19670,5.19670,0.20361,0.00000,0.00000,17.98403,3
2835,5.21086,5.19670,0.54973,0.00000,0.00000,18.84533,2
2836,5.19919,5.19676,0.20393,0.00000,0.00000,17.70030,3
2837,5.21261,5.19677,0.54981,0.00000,0.00000,18.46487,2
2838,5.20001,5.19683,0.49256,0.00000,0.00000,18.38557,2
2839,5.19196,5.19684,0.20319,0.00000,0.00000,17.86808,3
2840,5.20594,5.19682,0.54843,0.00000,0.00000,17.83579,2
2841,5.19204,5.19686,0.20206,0.00000,0.00000,18.43163,3
2842,5.20745,5.19684,0.54849,0.00000,0.00000,17.52215,2
2843,5.19277,5.19688,0.20157,0.00000,0.00000,17.75145,3
2844,5.20659,5.19687,0.54734,0.00000,0.00000,17.75968,2
2845,5.19259,5.19691,0.20089,0.00000,0.00000,17.24357,3
2846,5.20526,5.19689,0.54600,0.00000,0.00000,18.16624,2
2847,5.19235,5.19692,0.20020,0.00000,0.00000,17.77356,3
2848,5.20634,5.19690,0.54587,0.00000,0.00000,18.25144,2
2849,5.19362,5.19694,0.19997,0.00000,0.00000,17.22043,3
2850,5.20630,5.19693,0.54507,0.00000,0.00000,17.38595,2
2851,5.19159,5.19696,0.19844,0.00000,0.00000,17.57458,3
2852,5.20526,5.19694,0.54403,0.00000,0.00000,17.77486,2
2853,5.19157,5.19698,0.19782,0.00000,0.00000,18.65512,3
2854,5.20786,5.19696,0.54463,0.00000,0.00000,18.97124,2
2855,5.19694,5.19700,0.19919,0.00000,0.00000,17.62224,3
2856,5.21059,5.19700,0.54493,0.00000,0.00000,16.70822,2
2857,5.19422,5.19705,0.19722,0.00000,0.00000,17.65965,3
2858,5.20816,5.19704,0.54330,0.00000,0.00000,17.53913,2
2859,5.19393,5.19709,0.19664,0.00000,0.00000,17.86767,3
2860,5.20841,5.19707,0.54280,0.00000,0.00000,17.67724,2
2861,5.19455,5.19712,0.19623,0.00000,0.00000,17.46992,3
2862,5.20811,5.19711,0.54195,0.00000,0.00000,17.48276,2
2863,5.19386,5.19715,0.19531,0.00000,0.00000,17.47073,3
2864,5.20750,5.19714,0.54104,0.00000,0.00000,17.89169,2
2865,5.19430,5.19718,0.19488,0.00000,0.00000,17.46613,3
2866,5.20796,5.19717,0.54058,0.00000,0.00000,17.53117,2
2867,5.19394,5.19721,0.19404,0.00000,0.00000,17.69382,3
2868,5.20822,5.19720,0.54008,0.00000,0.00000,17.36714,2
2869,5.19384,5.19724,0.19332,0.00000,0.00000,17.73436,3
2870,5.20827,5.19723,0.53946,0.00000,0.00000,17.87501,2
2871,5.19515,5.19727,0.19321,0.00000,0.00000,18.02856,3
2872,5.21027,5.19727,0.53971,0.00000,0.00000,17.63303,2
2873,5.19653,5.19732,0.19301,0.00000,0.00000,17.17660,3
2874,5.20962,5.19731,0.53865,0.00000,0.00000,17.83544,2
2875,5.19646,5.19736,0.19240,0.00000,0.00000,18.14533,3
2876,5.21191,5.19736,0.53918,0.00000,0.00000,17.91651,2
2877,5.19886,5.19742,0.19263,0.00000,0.00000,17.66967,3
2878,5.21313,5.19742,0.53901,0.00000,0.00000,17.71296,2
2879,5.19960,5.19749,0.19227,0.00000,0.00000,17.77241,3
2880,5.21413,5.19750,0.19227,0.00000,0.00000,17.79851,3
