idx,a
869,590.491405431800
870,596.529901730204
871,602.630149033299
872,608.792778820576
873,615.018429029178
874,621.307744119933
875,627.661375144072
876,634.079979810617
877,640.564222554471
878,647.114774605195
879,653.732314056492
880,660.417525936402
881,667.171102278217
882,673.993742192110
883,680.886151937514
884,687.849044996226
885,694.883142146267
886,701.989171536492
887,709.167868761974
888,716.419976940137
889,723.746246787694
890,731.147436698352
891,738.624312821321
892,746.177649140623
893,753.808227555212
894,761.516837959916
895,769.304278327201
896,777.171354789776
897,785.118881724047
898,793.147681834410
899,801.258586238417
900,809.452434552819
901,817.730074980469
902,826.092364398134
903,834.540168445190
904,843.074361613238
905,851.695827336620
906,860.405458083875
907,869.204155450127
908,878.092830250408
909,887.072402613948
910,896.143802079423
911,905.307967691179
912,914.565848096436
913,923.918401643494
914,933.366596480933
915,942.911410657837
916,952.553832225035
917,962.294859337389
918,972.135500357107
919,982.076773958137
920,992.119709231614
921,1002.265345792386
922,1012.514733886631
923,1022.868934500583
924,1033.329019470353
925,1043.896071592887
926,1054.571184738054
927,1065.355463961880
928,1076.250025620937
929,1087.255997487907
930,1098.374518868330
931,1109.606740718535
932,1120.953825764785
933,1132.416948623642
934,1143.997295923557
935,1155.696066427707
936,1167.514471158089
937,1179.453733520879
938,1191.515089433075
939,1203.699787450440
940,1216.009088896742
941,1228.444267994328
942,1241.006611996027
943,1253.697421318400
944,1266.518009676354
945,1279.469704219142
946,1292.553845667737
947,1305.771788453622
948,1319.124900858997
949,1332.614565158423
950,1346.242177761905
951,1360.009149359446
952,1373.916905067083
953,1387.966884574401
954,1402.160542293571
955,1416.499347509912
956,1430.984784533974
957,1445.618352855198
958,1460.401567297142
959,1475.335958174280
960,1490.423071450426
961,1505.664468898758
962,1521.061728263502
963,1536.616443423241
964,1552.330224555913
965,1568.204698305500
966,1584.241507950400
967,1600.442313573544
968,1616.808792234242
969,1633.342638141782
970,1650.045562830810
971,1666.919295338514
972,1683.965582383592
973,1701.186188547078
974,1718.582896455008
975,1736.157506962942
976,1753.911839342390
977,1771.847731469141
978,1789.967040013506
979,1808.271640632519
980,1826.763428164101
981,1845.444316823208
982,1864.316240399981
983,1883.381152459928
984,1902.641026546155
985,1922.097856383655
986,1941.753656085697
987,1961.610460362322
988,1981.670324730965
989,2001.935325729237
990,2022.407561129892
991,2043.089150157965
992,2063.982233710162
993,2085.088974576472
994,2106.411557664060
995,2127.952190223431
996,2149.713102076923
997,2171.696545849543
998,2193.904797202131
999,2216.340155066942
1000,2239.004941885630
1001,2261.901503849645
1002,2285.032211143114
1003,2308.399458188200
1004,2332.005663892951
1005,2355.853271901707
1006,2379.944750848063
1007,2404.282594610406
1008,2428.869322570074
1009,2453.707479872169
1010,2478.799637689001
1011,2504.148393486264
1012,2529.756371291912
1013,2555.626221967796
1014,2581.760623484065
1015,2608.162281196383
1016,2634.833928125990
1017,2661.778325242604
1018,2688.998261750229
1019,2716.496555375897
1020,2744.276052661337
1021,2772.339629257644
1022,2800.690190222970
1023,2829.330670323226
1024,2858.264034335897
1025,2887.493277356935
1026,2917.021425110822
1027,2946.851534263757
1028,2976.986692740091
1029,3007.430020041981
1030,3038.184667572298
1031,3069.253818960861
1032,3100.640690394000
1033,3132.348530947476
1034,3164.380622922818
1035,3196.740282187108
1036,3229.430858516216
1037,3262.455735941560
1038,3295.818333100427
1039,3329.522103589839
1040,3363.570536324067
1041,3397.967155895805
1042,3432.715522941004
1043,3467.819234507475
1044,3503.281924427234
1045,3539.107263692680
1046,3575.298960836587
1047,3611.860762316009
1048,3648.796452900112
1049,3686.109856061942
1050,3723.804834374228
1051,3761.885289909241
1052,3800.355164642696
1053,3839.218440861826
1054,3878.479141577633
1055,3918.141330941308
1056,3958.209114664963
1057,3998.686640446627
1058,4039.578098399623
1059,4080.887721486293
1060,4122.619785956191
1061,4164.778611788762
1062,4207.368563140508
1063,4250.394048796765
1064,4293.859522628099
1065,4337.769484051334
1066,4382.128478495331
1067,4426.941097871529
1068,4472.211981049258
1069,4517.945814335958
1070,4564.147331962306
1071,4610.821316572255
1072,4657.972599718142
1073,4705.606062360843
1074,4753.726635375012
1075,4802.339300059525
1076,4851.449088653125
1077,4901.061084855359
1078,4951.180424352800
1079,5001.812295350695
1080,5052.961939110044
1081,5104.634650490131
1082,5156.835778496648
1083,5209.570726835424
1084,5262.844954471765
1085,5316.663976195573
1086,5371.033363192231
1087,5425.958743619287
1088,5481.445803189081
1089,5537.500285757306
1090,5594.127993917618
1091,5651.334789602266
1092,5709.126594688921
1093,5767.509391613708
1094,5826.489223990456
1095,5886.072197236331
1096,5946.264479203868
1097,6007.072300819418
1098,6068.501956728165
1099,6130.559805945754
1100,6193.252272516518
1101,6256.585846178493
1102,6320.567083035238
1103,6385.202606234466
1104,6450.499106653666
1105,6516.463343592749
1106,6583.102145473708
1107,6650.422410547506
1108,6718.431107608140
1109,6787.135276714068
1110,6856.542029916927
1111,6926.658551997776
1112,6997.492101210861
1113,7069.050010034925
1114,7141.339685932274
1115,7214.368612115583
1116,7288.144348322507
1117,7362.674531598253
1118,7437.966877086176
1119,7514.029178826373
1120,7590.869310562539
1121,7668.495226557011
1122,7746.914962414204
1123,7826.136635912384
1124,7906.168447844023
1125,7987.018682864742
1126,8068.695710350867
1127,8151.207985265824
1128,8234.564049035402
1129,8318.772530431877
1130,8403.842146467272
1131,8489.781703295737
1132,8576.600097125081
1133,8664.306315137716
1134,8752.909436420998
1135,8842.418632907025
1136,8932.843170322112
1137,9024.192409145971
1138,9116.475805580638
1139,9209.702912529376
1140,9303.883380585554
1141,9399.026959031675
1142,9495.143496848550
1143,9592.242943734851
1144,9690.335351137110
1145,9789.430873290154
1146,9889.539768268269
1147,9990.672399047124
1148,10092.839234576431
1149,10196.050850863758
