version,K,w,mag_db,phase_deg
A,0.200000000000,0.011650187530,-1.334821505808,-38.610114824907
A,0.200000000000,0.011785260158,-1.362087331032,-38.995892847325
A,0.200000000000,0.011921898823,-1.389838585623,-39.384411200908
A,0.200000000000,0.012060121680,-1.418081320517,-39.775661132753
A,0.200000000000,0.012199947097,-1.446821575564,-40.169633193890
A,0.200000000000,0.012341393654,-1.476065376546,-40.566317237382
A,0.200000000000,0.012484480147,-1.505818732176,-40.965702417040
A,0.200000000000,0.012629225589,-1.536087631052,-41.367777186914
A,0.200000000000,0.012775649215,-1.566878038595,-41.772529301423
A,0.200000000000,0.012923770480,-1.598195893965,-42.179945816305
A,0.200000000000,0.013073609067,-1.630047106950,-42.590013090168
A,0.200000000000,0.013225184888,-1.662437554859,-43.002716786945
A,0.200000000000,0.013378518084,-1.695373079390,-43.418041878990
A,0.200000000000,0.013533629029,-1.728859483513,-43.835972651049
A,0.200000000000,0.013690538335,-1.762902528332,-44.256492704921
A,0.200000000000,0.013849266852,-1.797507929991,-44.679584965001
A,0.200000000000,0.014009835673,-1.832681356549,-45.105231684553
A,0.200000000000,0.014172266133,-1.868428424918,-45.533414452796
A,0.200000000000,0.014336579818,-1.904754697788,-45.964114202845
A,0.200000000000,0.014502798560,-1.941665680611,-46.397311220363
A,0.200000000000,0.014670944447,-1.979166818600,-46.832985153091
A,0.200000000000,0.014841039822,-2.017263493786,-47.271115021142
A,0.200000000000,0.015013107289,-2.055961022113,-47.711679228067
A,0.200000000000,0.015187169711,-2.095264650588,-48.154655572755
A,0.200000000000,0.015363250218,-2.135179554494,-48.600021262059
A,0.200000000000,0.015541372208,-2.175710834663,-49.047752924208
A,0.200000000000,0.015721559350,-2.216863514830,-49.497826622932
A,0.200000000000,0.015903835586,-2.258642539049,-49.950217872353
A,0.200000000000,0.016088225139,-2.301052769207,-50.404901652588
A,0.200000000000,0.016274752510,-2.344098982612,-50.861852426004
A,0.200000000000,0.016463442486,-2.387785869692,-51.321044154175
A,0.200000000000,0.016654320138,-2.432118031768,-51.782450315463
A,0.200000000000,0.016847410832,-2.477099978959,-52.246043923227
A,0.200000000000,0.017042740225,-2.522736128182,-52.711797544621
A,0.200000000000,0.017240334273,-2.569030801256,-53.179683319907
A,0.200000000000,0.017440219232,-2.615988223145,-53.649672982366
A,0.200000000000,0.017642421664,-2.663612520314,-54.121737878630
A,0.200000000000,0.017846968437,-2.711907719209,-54.595848989486
A,0.200000000000,0.018053886731,-2.760877744873,-55.071976951114
A,0.200000000000,0.018263204042,-2.810526419696,-55.550092076664
A,0.200000000000,0.018474948185,-2.860857462297,-56.030164378210
A,0.200000000000,0.018689147295,-2.911874486559,-56.512163588947
A,0.200000000000,0.018905829837,-2.963581000788,-56.996059185656
A,0.200000000000,0.019125024602,-3.015980407045,-57.481820411391
A,0.200000000000,0.019346760719,-3.069076000591,-57.969416298287
A,0.200000000000,0.019571067650,-3.122870969514,-58.458815690477
A,0.200000000000,0.019797975203,-3.177368394483,-58.949987267121
A,0.200000000000,0.020027513529,-3.232571248667,-59.442899565381
A,0.200000000000,0.020259713130,-3.288482397797,-59.937521003413
A,0.200000000000,0.020494604859,-3.345104600383,-60.433819903226
A,0.200000000000,0.020732219931,-3.402440508082,-60.931764513451
A,0.200000000000,0.020972589919,-3.460492666218,-61.431323031923
A,0.200000000000,0.021215746763,-3.519263514442,-61.932463627987
A,0.200000000000,0.021461722776,-3.578755387557,-62.435154464581
A,0.200000000000,0.021710550642,-3.638970516473,-62.939363719944
A,0.200000000000,0.021962263426,-3.699911029306,-63.445059608986
A,0.200000000000,0.022216894575,-3.761578952630,-63.952210404207
A,0.200000000000,0.022474477926,-3.823976212854,-64.460784456145
A,0.200000000000,0.022735047706,-3.887104637736,-64.970750213351
A,0.200000000000,0.022998638540,-3.950965958032,-65.482076241748
A,0.200000000000,0.023265285454,-4.015561809265,-65.994731243427
A,0.200000000000,0.023535023880,-4.080893733611,-66.508684074788
A,0.200000000000,0.023807889662,-4.146963181918,-67.023903764021
